# SFHo EOS Table: 2famphi, nucleons_hyperons_deltas
# Equilibrium: beta_eq
# Components: photons
#            n_B              T          sigma          omega            rho            phi           mu_B           mu_C           mu_S           mu_e          mu_nu        P_total        e_total        s_total            Y_C            Y_S            Y_L      converged
  6.332529e-01              0   7.690542e+01   6.949176e+01  -1.827653e+00  -1.296827e+00   1.209930e+03  -1.315883e+02   0.000000e+00   1.315883e+02   0.000000e+00   1.018661e+02   6.553381e+02   0.000000e+00   1.581557e-02   6.519743e-02   0.000000e+00              1
  6.395532e-01              0   7.732772e+01   7.016155e+01  -1.773114e+00  -1.384487e+00   1.213700e+03  -1.305683e+02   0.000000e+00   1.305683e+02   0.000000e+00   1.042650e+02   6.630721e+02   0.000000e+00   1.529839e-02   6.891879e-02   0.000000e+00              1
  6.458534e-01              0   7.774566e+01   7.082980e+01  -1.719985e+00  -1.473878e+00   1.217489e+03  -1.295614e+02   0.000000e+00   1.295614e+02   0.000000e+00   1.067003e+02   6.708341e+02   0.000000e+00   1.480137e-02   7.265295e-02   0.000000e+00              1
  6.521536e-01              0   7.815931e+01   7.149650e+01  -1.668258e+00  -1.564962e+00   1.221297e+03  -1.285676e+02   0.000000e+00   1.285676e+02   0.000000e+00   1.091720e+02   6.786237e+02   0.000000e+00   1.432364e-02   7.639755e-02   0.000000e+00              1
  6.584539e-01              0   7.856875e+01   7.216164e+01  -1.617921e+00  -1.657699e+00   1.225125e+03  -1.275868e+02   0.000000e+00   1.275868e+02   0.000000e+00   1.116800e+02   6.864408e+02   0.000000e+00   1.386440e-02   8.015045e-02   0.000000e+00              1
  6.647541e-01              0   7.897402e+01   7.282521e+01  -1.568959e+00  -1.752053e+00   1.228970e+03  -1.266190e+02   0.000000e+00   1.266190e+02   0.000000e+00   1.142242e+02   6.942851e+02   0.000000e+00   1.342284e-02   8.390964e-02   0.000000e+00              1
  6.710543e-01              0   7.937520e+01   7.348720e+01  -1.521356e+00  -1.847989e+00   1.232833e+03  -1.256640e+02   0.000000e+00   1.256640e+02   0.000000e+00   1.168045e+02   7.021565e+02   0.000000e+00   1.299822e-02   8.767326e-02   0.000000e+00              1
  6.773546e-01              0   7.977234e+01   7.414761e+01  -1.475093e+00  -1.945471e+00   1.236714e+03  -1.247218e+02   0.000000e+00   1.247218e+02   0.000000e+00   1.194207e+02   7.100546e+02   0.000000e+00   1.258981e-02   9.143958e-02   0.000000e+00              1
  6.836548e-01              0   8.016550e+01   7.480643e+01  -1.430150e+00  -2.044467e+00   1.240611e+03  -1.237921e+02   0.000000e+00   1.237921e+02   0.000000e+00   1.220727e+02   7.179793e+02   0.000000e+00   1.219691e-02   9.520700e-02   0.000000e+00              1
  6.899551e-01              0   8.055474e+01   7.546367e+01  -1.386506e+00  -2.144947e+00   1.244524e+03  -1.228747e+02   0.000000e+00   1.228747e+02   0.000000e+00   1.247606e+02   7.259304e+02   0.000000e+00   1.181885e-02   9.897402e-02   0.000000e+00              1
  6.962553e-01              0   8.094011e+01   7.611932e+01  -1.344138e+00  -2.246878e+00   1.248454e+03  -1.219697e+02   0.000000e+00   1.219697e+02   0.000000e+00   1.274841e+02   7.339078e+02   0.000000e+00   1.145500e-02   1.027393e-01   0.000000e+00              1
  7.025555e-01              0   8.132166e+01   7.677339e+01  -1.303020e+00  -2.350231e+00   1.252399e+03  -1.210766e+02   0.000000e+00   1.210766e+02   0.000000e+00   1.302432e+02   7.419113e+02   0.000000e+00   1.110473e-02   1.065014e-01   0.000000e+00              1
  7.088558e-01              0   8.169946e+01   7.742588e+01  -1.263129e+00  -2.454977e+00   1.256359e+03  -1.201954e+02   0.000000e+00   1.201954e+02   0.000000e+00   1.330377e+02   7.499406e+02   0.000000e+00   1.076746e-02   1.102593e-01   0.000000e+00              1
  7.151560e-01              0   8.207353e+01   7.807680e+01  -1.224439e+00  -2.561090e+00   1.260333e+03  -1.193258e+02   0.000000e+00   1.193258e+02   0.000000e+00   1.358677e+02   7.579958e+02   0.000000e+00   1.044264e-02   1.140117e-01   0.000000e+00              1
  7.214562e-01              0   8.244391e+01   7.872611e+01  -1.186922e+00  -2.668576e+00   1.264322e+03  -1.184676e+02   0.000000e+00   1.184676e+02   0.000000e+00   1.387329e+02   7.660765e+02   0.000000e+00   1.012969e-02   1.177593e-01   0.000000e+00              1
  7.277565e-01              0   8.279101e+01   7.934896e+01  -1.151029e+00  -2.797511e+00   1.268217e+03  -1.175609e+02   0.000000e+00   1.175609e+02   0.000000e+00   1.415549e+02   7.741888e+02   0.000000e+00   9.813181e-03   1.223802e-01   0.000000e+00              1
  7.340567e-01              0   8.312500e+01   7.995792e+01  -1.116469e+00  -2.937601e+00   1.272070e+03  -1.166350e+02   0.000000e+00   1.166350e+02   0.000000e+00   1.443713e+02   7.823282e+02   0.000000e+00   9.500894e-03   1.274057e-01   0.000000e+00              1
  7.403569e-01              0   8.345127e+01   8.055964e+01  -1.083078e+00  -3.083421e+00   1.275910e+03  -1.157054e+02   0.000000e+00   1.157054e+02   0.000000e+00   1.472020e+02   7.904923e+02   0.000000e+00   9.196597e-03   1.325920e-01   0.000000e+00              1
  7.466572e-01              0   8.377139e+01   8.115603e+01  -1.050785e+00  -3.233405e+00   1.279744e+03  -1.147763e+02   0.000000e+00   1.147763e+02   0.000000e+00   1.500525e+02   7.986805e+02   0.000000e+00   8.901077e-03   1.378683e-01   0.000000e+00              1
  7.529574e-01              0   8.408616e+01   8.174805e+01  -1.019541e+00  -3.386752e+00   1.283576e+03  -1.138497e+02   0.000000e+00   1.138497e+02   0.000000e+00   1.529257e+02   8.068922e+02   0.000000e+00   8.614530e-03   1.431985e-01   0.000000e+00              1
  7.592576e-01              0   8.439610e+01   8.233632e+01  -9.893040e-01  -3.542967e+00   1.287408e+03  -1.129266e+02   0.000000e+00   1.129266e+02   0.000000e+00   1.558232e+02   8.151273e+02   0.000000e+00   8.336921e-03   1.485605e-01   0.000000e+00              1
  7.655579e-01              0   8.470158e+01   8.292125e+01  -9.600366e-01  -3.701712e+00   1.291241e+03  -1.120077e+02   0.000000e+00   1.120077e+02   0.000000e+00   1.587459e+02   8.233853e+02   0.000000e+00   8.068109e-03   1.539395e-01   0.000000e+00              1
  7.718581e-01              0   8.500285e+01   8.350313e+01  -9.317047e-01  -3.862739e+00   1.295077e+03  -1.110935e+02   0.000000e+00   1.110935e+02   0.000000e+00   1.616947e+02   8.316663e+02   0.000000e+00   7.807894e-03   1.593248e-01   0.000000e+00              1
  7.781583e-01              0   8.530014e+01   8.408221e+01  -9.042756e-01  -4.025856e+00   1.298916e+03  -1.101841e+02   0.000000e+00   1.101841e+02   0.000000e+00   1.646701e+02   8.399700e+02   0.000000e+00   7.556046e-03   1.647084e-01   0.000000e+00              1
  7.844586e-01              0   8.559361e+01   8.465868e+01  -8.777189e-01  -4.190910e+00   1.302759e+03  -1.092798e+02   0.000000e+00   1.092798e+02   0.000000e+00   1.676726e+02   8.482964e+02   0.000000e+00   7.312321e-03   1.700842e-01   0.000000e+00              1
  7.907588e-01              0   8.588341e+01   8.523270e+01  -8.520052e-01  -4.357777e+00   1.306606e+03  -1.083807e+02   0.000000e+00   1.083807e+02   0.000000e+00   1.707024e+02   8.566454e+02   0.000000e+00   7.076465e-03   1.754472e-01   0.000000e+00              1
  7.970590e-01              0   8.616966e+01   8.580439e+01  -8.271061e-01  -4.526350e+00   1.310457e+03  -1.074867e+02   0.000000e+00   1.074867e+02   0.000000e+00   1.737600e+02   8.650169e+02   0.000000e+00   6.848226e-03   1.807937e-01   0.000000e+00              1
  8.033593e-01              0   8.645248e+01   8.637389e+01  -8.029947e-01  -4.696541e+00   1.314313e+03  -1.065978e+02   0.000000e+00   1.065978e+02   0.000000e+00   1.768455e+02   8.734109e+02   0.000000e+00   6.627352e-03   1.861203e-01   0.000000e+00              1
  8.096595e-01              0   8.673197e+01   8.694129e+01  -7.796448e-01  -4.868270e+00   1.318174e+03  -1.057142e+02   0.000000e+00   1.057142e+02   0.000000e+00   1.799592e+02   8.818273e+02   0.000000e+00   6.413595e-03   1.914246e-01   0.000000e+00              1
  8.159597e-01              0   8.700820e+01   8.750669e+01  -7.570311e-01  -5.041470e+00   1.322039e+03  -1.048356e+02   0.000000e+00   1.048356e+02   0.000000e+00   1.831011e+02   8.902662e+02   0.000000e+00   6.206713e-03   1.967044e-01   0.000000e+00              1
  8.222600e-01              0   8.728127e+01   8.807017e+01  -7.351291e-01  -5.216079e+00   1.325910e+03  -1.039621e+02   0.000000e+00   1.039621e+02   0.000000e+00   1.862716e+02   8.987275e+02   0.000000e+00   6.006471e-03   2.019578e-01   0.000000e+00              1
  8.285602e-01              0   8.755125e+01   8.863180e+01  -7.139154e-01  -5.392043e+00   1.329786e+03  -1.030935e+02   0.000000e+00   1.030935e+02   0.000000e+00   1.894706e+02   9.072112e+02   0.000000e+00   5.812640e-03   2.071834e-01   0.000000e+00              1
  8.348604e-01              0   8.781820e+01   8.919167e+01  -6.933671e-01  -5.569313e+00   1.333667e+03  -1.022298e+02   0.000000e+00   1.022298e+02   0.000000e+00   1.926985e+02   9.157174e+02   0.000000e+00   5.624999e-03   2.123798e-01   0.000000e+00              1
  8.411607e-01              0   8.808219e+01   8.974984e+01  -6.734622e-01  -5.747844e+00   1.337553e+03  -1.013710e+02   0.000000e+00   1.013710e+02   0.000000e+00   1.959552e+02   9.242460e+02   0.000000e+00   5.443334e-03   2.175462e-01   0.000000e+00              1
  8.474609e-01              0   8.834329e+01   9.030637e+01  -6.541793e-01  -5.927593e+00   1.341445e+03  -1.005168e+02   0.000000e+00   1.005168e+02   0.000000e+00   1.992409e+02   9.327970e+02   0.000000e+00   5.267439e-03   2.226816e-01   0.000000e+00              1
  8.537611e-01              0   8.860155e+01   9.086132e+01  -6.354980e-01  -6.108525e+00   1.345342e+03  -9.966733e+01   0.000000e+00   9.966733e+01   0.000000e+00   2.025557e+02   9.413706e+02   0.000000e+00   5.097116e-03   2.277852e-01   0.000000e+00              1
  8.600614e-01              0   8.885702e+01   9.141474e+01  -6.173981e-01  -6.290603e+00   1.349244e+03  -9.882235e+01   0.000000e+00   9.882235e+01   0.000000e+00   2.058997e+02   9.499666e+02   0.000000e+00   4.932173e-03   2.328565e-01   0.000000e+00              1
  8.663616e-01              0   8.910976e+01   9.196669e+01  -5.998606e-01  -6.473795e+00   1.353152e+03  -9.798181e+01   0.000000e+00   9.798181e+01   0.000000e+00   2.092730e+02   9.585852e+02   0.000000e+00   4.772425e-03   2.378950e-01   0.000000e+00              1
  8.726618e-01              0   8.935981e+01   9.251722e+01  -5.828667e-01  -6.658071e+00   1.357065e+03  -9.714562e+01   0.000000e+00   9.714562e+01   0.000000e+00   2.126756e+02   9.672264e+02   0.000000e+00   4.617696e-03   2.429002e-01   0.000000e+00              1
  8.789621e-01              0   8.960723e+01   9.306638e+01  -5.663985e-01  -6.843402e+00   1.360984e+03  -9.631369e+01   0.000000e+00   9.631369e+01   0.000000e+00   2.161077e+02   9.758903e+02   0.000000e+00   4.467814e-03   2.478720e-01   0.000000e+00              1
  8.852623e-01              0   8.985205e+01   9.361420e+01  -5.504386e-01  -7.029761e+00   1.364908e+03  -9.548590e+01   0.000000e+00   9.548590e+01   0.000000e+00   2.195694e+02   9.845768e+02   0.000000e+00   4.322617e-03   2.528099e-01   0.000000e+00              1
  8.915625e-01              0   9.009433e+01   9.416074e+01  -5.349701e-01  -7.217125e+00   1.368838e+03  -9.466219e+01   0.000000e+00   9.466219e+01   0.000000e+00   2.230607e+02   9.932861e+02   0.000000e+00   4.181946e-03   2.577140e-01   0.000000e+00              1
  8.978628e-01              0   9.033411e+01   9.470604e+01  -5.199769e-01  -7.405468e+00   1.372773e+03  -9.384244e+01   0.000000e+00   9.384244e+01   0.000000e+00   2.265817e+02   1.002018e+03   0.000000e+00   4.045649e-03   2.625839e-01   0.000000e+00              1
  9.041630e-01              0   9.057142e+01   9.525014e+01  -5.054433e-01  -7.594770e+00   1.376714e+03  -9.302658e+01   0.000000e+00   9.302658e+01   0.000000e+00   2.301324e+02   1.010773e+03   0.000000e+00   3.913581e-03   2.674197e-01   0.000000e+00              1
  9.104632e-01              0   9.080631e+01   9.579307e+01  -4.913541e-01  -7.785007e+00   1.380660e+03  -9.221451e+01   0.000000e+00   9.221451e+01   0.000000e+00   2.337130e+02   1.019551e+03   0.000000e+00   3.785602e-03   2.722213e-01   0.000000e+00              1
  9.167635e-01              0   9.103882e+01   9.633488e+01  -4.776947e-01  -7.976161e+00   1.384612e+03  -9.140615e+01   0.000000e+00   9.140615e+01   0.000000e+00   2.373236e+02   1.028351e+03   0.000000e+00   3.661577e-03   2.769888e-01   0.000000e+00              1
  9.230637e-01              0   9.126898e+01   9.687560e+01  -4.644510e-01  -8.168212e+00   1.388570e+03  -9.060140e+01   0.000000e+00   9.060140e+01   0.000000e+00   2.409641e+02   1.037175e+03   0.000000e+00   3.541376e-03   2.817221e-01   0.000000e+00              1
  9.293639e-01              0   9.149683e+01   9.741526e+01  -4.516092e-01  -8.361142e+00   1.392533e+03  -8.980020e+01   0.000000e+00   8.980020e+01   0.000000e+00   2.446346e+02   1.046022e+03   0.000000e+00   3.424874e-03   2.864213e-01   0.000000e+00              1
  9.356642e-01              0   9.172241e+01   9.795391e+01  -4.391562e-01  -8.554934e+00   1.396501e+03  -8.900245e+01   0.000000e+00   8.900245e+01   0.000000e+00   2.483353e+02   1.054892e+03   0.000000e+00   3.311952e-03   2.910866e-01   0.000000e+00              1
  9.419644e-01              0   9.194575e+01   9.849157e+01  -4.270793e-01  -8.749571e+00   1.400475e+03  -8.820808e+01   0.000000e+00   8.820808e+01   0.000000e+00   2.520661e+02   1.063785e+03   0.000000e+00   3.202494e-03   2.957180e-01   0.000000e+00              1
  9.482646e-01              0   9.216688e+01   9.902827e+01  -4.153661e-01  -8.945037e+00   1.404455e+03  -8.741700e+01   0.000000e+00   8.741700e+01   0.000000e+00   2.558272e+02   1.072701e+03   0.000000e+00   3.096389e-03   3.003157e-01   0.000000e+00              1
  9.545649e-01              0   9.238584e+01   9.956406e+01  -4.040049e-01  -9.141316e+00   1.408440e+03  -8.662915e+01   0.000000e+00   8.662915e+01   0.000000e+00   2.596186e+02   1.081640e+03   0.000000e+00   2.993530e-03   3.048799e-01   0.000000e+00              1
  9.608651e-01              0   9.260266e+01   1.000989e+02  -3.929840e-01  -9.338395e+00   1.412430e+03  -8.584444e+01   0.000000e+00   8.584444e+01   0.000000e+00   2.634404e+02   1.090603e+03   0.000000e+00   2.893814e-03   3.094107e-01   0.000000e+00              1
  9.671654e-01              0   9.281737e+01   1.006330e+02  -3.822925e-01  -9.536259e+00   1.416426e+03  -8.506281e+01   0.000000e+00   8.506281e+01   0.000000e+00   2.672925e+02   1.099590e+03   0.000000e+00   2.797142e-03   3.139083e-01   0.000000e+00              1
  9.734656e-01              0   9.303001e+01   1.011662e+02  -3.719197e-01  -9.734894e+00   1.420428e+03  -8.428419e+01   0.000000e+00   8.428419e+01   0.000000e+00   2.711752e+02   1.108599e+03   0.000000e+00   2.703419e-03   3.183730e-01   0.000000e+00              1
  9.797658e-01              0   9.324059e+01   1.016985e+02  -3.618552e-01  -9.934288e+00   1.424435e+03  -8.350850e+01   0.000000e+00   8.350850e+01   0.000000e+00   2.750884e+02   1.117633e+03   0.000000e+00   2.612552e-03   3.228048e-01   0.000000e+00              1
  9.860661e-01              0   9.344916e+01   1.022301e+02  -3.520890e-01  -1.013443e+01   1.428447e+03  -8.273569e+01   0.000000e+00   8.273569e+01   0.000000e+00   2.790322e+02   1.126690e+03   0.000000e+00   2.524454e-03   3.272041e-01   0.000000e+00              1
  9.923663e-01              0   9.365574e+01   1.027610e+02  -3.426116e-01  -1.033530e+01   1.432465e+03  -8.196568e+01   0.000000e+00   8.196568e+01   0.000000e+00   2.830066e+02   1.135770e+03   0.000000e+00   2.439037e-03   3.315711e-01   0.000000e+00              1
  9.986665e-01              0   9.386036e+01   1.032911e+02  -3.334136e-01  -1.053690e+01   1.436488e+03  -8.119842e+01   0.000000e+00   8.119842e+01   0.000000e+00   2.870117e+02   1.144875e+03   0.000000e+00   2.356221e-03   3.359061e-01   0.000000e+00              1
  1.004967e+00              0   9.406305e+01   1.038205e+02  -3.244860e-01  -1.073921e+01   1.440516e+03  -8.043384e+01   0.000000e+00   8.043384e+01   0.000000e+00   2.910476e+02   1.154003e+03   0.000000e+00   2.275925e-03   3.402092e-01   0.000000e+00              1
  1.011267e+00              0   9.426384e+01   1.043493e+02  -3.158202e-01  -1.094221e+01   1.444550e+03  -7.967188e+01   0.000000e+00   7.967188e+01   0.000000e+00   2.951143e+02   1.163155e+03   0.000000e+00   2.198073e-03   3.444807e-01   0.000000e+00              1
  1.017567e+00              0   9.446274e+01   1.048773e+02  -3.074079e-01  -1.114591e+01   1.448590e+03  -7.891249e+01   0.000000e+00   7.891249e+01   0.000000e+00   2.992119e+02   1.172331e+03   0.000000e+00   2.122591e-03   3.487209e-01   0.000000e+00              1
  1.023867e+00              0   9.465979e+01   1.054048e+02  -2.992408e-01  -1.135029e+01   1.452634e+03  -7.815560e+01   0.000000e+00   7.815560e+01   0.000000e+00   3.033403e+02   1.181531e+03   0.000000e+00   2.049408e-03   3.529301e-01   0.000000e+00              1
  1.030168e+00              0   9.485502e+01   1.059316e+02  -2.913113e-01  -1.155534e+01   1.456684e+03  -7.740117e+01   0.000000e+00   7.740117e+01   0.000000e+00   3.074998e+02   1.190755e+03   0.000000e+00   1.978454e-03   3.571085e-01   0.000000e+00              1
  1.036468e+00              0   9.504844e+01   1.064579e+02  -2.836117e-01  -1.176104e+01   1.460740e+03  -7.664914e+01   0.000000e+00   7.664914e+01   0.000000e+00   3.116902e+02   1.200003e+03   0.000000e+00   1.909663e-03   3.612564e-01   0.000000e+00              1
  1.042768e+00              0   9.524009e+01   1.069836e+02  -2.761348e-01  -1.196740e+01   1.464800e+03  -7.589946e+01   0.000000e+00   7.589946e+01   0.000000e+00   3.159117e+02   1.209276e+03   0.000000e+00   1.842970e-03   3.653740e-01   0.000000e+00              1
  1.049068e+00              0   9.542999e+01   1.075087e+02  -2.688736e-01  -1.217440e+01   1.468866e+03  -7.515208e+01   0.000000e+00   7.515208e+01   0.000000e+00   3.201644e+02   1.218572e+03   0.000000e+00   1.778315e-03   3.694617e-01   0.000000e+00              1
  1.055369e+00              0   9.561816e+01   1.080333e+02  -2.618212e-01  -1.238204e+01   1.472937e+03  -7.440694e+01   0.000000e+00   7.440694e+01   0.000000e+00   3.244482e+02   1.227893e+03   0.000000e+00   1.715636e-03   3.735197e-01   0.000000e+00              1
  1.061669e+00              0   9.580463e+01   1.085574e+02  -2.549710e-01  -1.259030e+01   1.477014e+03  -7.366401e+01   0.000000e+00   7.366401e+01   0.000000e+00   3.287632e+02   1.237239e+03   0.000000e+00   1.654875e-03   3.775483e-01   0.000000e+00              1
  1.067969e+00              0   9.598941e+01   1.090810e+02  -2.483168e-01  -1.279917e+01   1.481096e+03  -7.292324e+01   0.000000e+00   7.292324e+01   0.000000e+00   3.331094e+02   1.246608e+03   0.000000e+00   1.595977e-03   3.815477e-01   0.000000e+00              1
  1.074269e+00              0   9.617254e+01   1.096041e+02  -2.418524e-01  -1.300866e+01   1.485182e+03  -7.218457e+01   0.000000e+00   7.218457e+01   0.000000e+00   3.374870e+02   1.256003e+03   0.000000e+00   1.538887e-03   3.855183e-01   0.000000e+00              1
  1.080570e+00              0   9.635403e+01   1.101268e+02  -2.355719e-01  -1.321875e+01   1.489275e+03  -7.144797e+01   0.000000e+00   7.144797e+01   0.000000e+00   3.418960e+02   1.265422e+03   0.000000e+00   1.483553e-03   3.894602e-01   0.000000e+00              1
  1.086870e+00              0   9.653391e+01   1.106491e+02  -2.294696e-01  -1.342943e+01   1.493372e+03  -7.071339e+01   0.000000e+00   7.071339e+01   0.000000e+00   3.463363e+02   1.274865e+03   0.000000e+00   1.429924e-03   3.933739e-01   0.000000e+00              1
  1.093170e+00              0   9.671220e+01   1.111709e+02  -2.235398e-01  -1.364070e+01   1.497474e+03  -6.998079e+01   0.000000e+00   6.998079e+01   0.000000e+00   3.508082e+02   1.284333e+03   0.000000e+00   1.377950e-03   3.972596e-01   0.000000e+00              1
  1.099470e+00              0   9.688891e+01   1.116924e+02  -2.177774e-01  -1.385254e+01   1.501582e+03  -6.925012e+01   0.000000e+00   6.925012e+01   0.000000e+00   3.553115e+02   1.293826e+03   0.000000e+00   1.327585e-03   4.011175e-01   0.000000e+00              1
  1.105771e+00              0   9.706407e+01   1.122135e+02  -2.121770e-01  -1.406496e+01   1.505695e+03  -6.852136e+01   0.000000e+00   6.852136e+01   0.000000e+00   3.598463e+02   1.303344e+03   0.000000e+00   1.278782e-03   4.049479e-01   0.000000e+00              1
  1.112071e+00              0   9.723771e+01   1.127342e+02  -2.067338e-01  -1.427795e+01   1.509813e+03  -6.779446e+01   0.000000e+00   6.779446e+01   0.000000e+00   3.644128e+02   1.312886e+03   0.000000e+00   1.231496e-03   4.087511e-01   0.000000e+00              1
  1.118371e+00              0   9.740983e+01   1.132545e+02  -2.014429e-01  -1.449149e+01   1.513936e+03  -6.706939e+01   0.000000e+00   6.706939e+01   0.000000e+00   3.690109e+02   1.322453e+03   0.000000e+00   1.185684e-03   4.125274e-01   0.000000e+00              1
  1.124671e+00              0   9.758047e+01   1.137746e+02  -1.962996e-01  -1.470559e+01   1.518064e+03  -6.634610e+01   0.000000e+00   6.634610e+01   0.000000e+00   3.736407e+02   1.332046e+03   0.000000e+00   1.141304e-03   4.162771e-01   0.000000e+00              1
  1.130971e+00              0   9.774963e+01   1.142943e+02  -1.912994e-01  -1.492024e+01   1.522197e+03  -6.562456e+01   0.000000e+00   6.562456e+01   0.000000e+00   3.783023e+02   1.341663e+03   0.000000e+00   1.098317e-03   4.200004e-01   0.000000e+00              1
  1.137272e+00              0   9.791735e+01   1.148137e+02  -1.864380e-01  -1.513543e+01   1.526336e+03  -6.490473e+01   0.000000e+00   6.490473e+01   0.000000e+00   3.829956e+02   1.351306e+03   0.000000e+00   1.056681e-03   4.236975e-01   0.000000e+00              1
  1.143572e+00              0   9.808363e+01   1.153328e+02  -1.817112e-01  -1.535115e+01   1.530479e+03  -6.418658e+01   0.000000e+00   6.418658e+01   0.000000e+00   3.877208e+02   1.360973e+03   0.000000e+00   1.016360e-03   4.273689e-01   0.000000e+00              1
  1.149872e+00              0   9.824850e+01   1.158517e+02  -1.771148e-01  -1.556740e+01   1.534627e+03  -6.347008e+01   0.000000e+00   6.347008e+01   0.000000e+00   3.924778e+02   1.370666e+03   0.000000e+00   9.773159e-04   4.310146e-01   0.000000e+00              1
  1.156172e+00              0   9.841197e+01   1.163703e+02  -1.726449e-01  -1.578417e+01   1.538781e+03  -6.275520e+01   0.000000e+00   6.275520e+01   0.000000e+00   3.972668e+02   1.380384e+03   0.000000e+00   9.395131e-04   4.346351e-01   0.000000e+00              1
  1.162473e+00              0   9.857407e+01   1.168887e+02  -1.682977e-01  -1.600147e+01   1.542939e+03  -6.204189e+01   0.000000e+00   6.204189e+01   0.000000e+00   4.020877e+02   1.390127e+03   0.000000e+00   9.029168e-04   4.382305e-01   0.000000e+00              1
  1.168773e+00              0   9.873481e+01   1.174068e+02  -1.640696e-01  -1.621927e+01   1.547103e+03  -6.133013e+01   0.000000e+00   6.133013e+01   0.000000e+00   4.069407e+02   1.399896e+03   0.000000e+00   8.674931e-04   4.418011e-01   0.000000e+00              1
  1.175073e+00              0   9.889420e+01   1.179247e+02  -1.599569e-01  -1.643759e+01   1.551271e+03  -6.061990e+01   0.000000e+00   6.061990e+01   0.000000e+00   4.118257e+02   1.409690e+03   0.000000e+00   8.332092e-04   4.453472e-01   0.000000e+00              1
  1.181373e+00              0   9.905243e+01   1.184425e+02  -1.559560e-01  -1.665635e+01   1.555444e+03  -5.991106e+01   0.000000e+00   5.991106e+01   0.000000e+00   4.167421e+02   1.419509e+03   0.000000e+00   8.000296e-04   4.488677e-01   0.000000e+00              1
  1.187674e+00              0   9.921446e+01   1.189623e+02  -1.520599e-01  -1.687402e+01   1.559602e+03  -5.920071e+01   0.000000e+00   5.920071e+01   0.000000e+00   4.216678e+02   1.429354e+03   0.000000e+00   7.678118e-04   4.523213e-01   0.000000e+00              1
  1.193974e+00              0   9.937861e+01   1.194834e+02  -1.482669e-01  -1.709110e+01   1.563753e+03  -5.848963e+01   0.000000e+00   5.848963e+01   0.000000e+00   4.266103e+02   1.439224e+03   0.000000e+00   7.365662e-04   4.557229e-01   0.000000e+00              1
  1.200274e+00              0   9.954373e+01   1.200053e+02  -1.445751e-01  -1.730796e+01   1.567900e+03  -5.777839e+01   0.000000e+00   5.777839e+01   0.000000e+00   4.315752e+02   1.449120e+03   0.000000e+00   7.062923e-04   4.590829e-01   0.000000e+00              1
  1.206574e+00              0   9.970931e+01   1.205279e+02  -1.409818e-01  -1.752475e+01   1.572046e+03  -5.706718e+01   0.000000e+00   5.706718e+01   0.000000e+00   4.365647e+02   1.459041e+03   0.000000e+00   6.769747e-04   4.624059e-01   0.000000e+00              1
  1.212874e+00              0   9.987506e+01   1.210509e+02  -1.374846e-01  -1.774156e+01   1.576192e+03  -5.635610e+01   0.000000e+00   5.635610e+01   0.000000e+00   4.415802e+02   1.468987e+03   0.000000e+00   6.485939e-04   4.656948e-01   0.000000e+00              1
  1.219175e+00              0   1.000408e+02   1.215744e+02  -1.340807e-01  -1.795844e+01   1.580339e+03  -5.564520e+01   0.000000e+00   5.564520e+01   0.000000e+00   4.466229e+02   1.478959e+03   0.000000e+00   6.211292e-04   4.689518e-01   0.000000e+00              1
  1.225475e+00              0   1.002064e+02   1.220983e+02  -1.307676e-01  -1.817545e+01   1.584487e+03  -5.493454e+01   0.000000e+00   5.493454e+01   0.000000e+00   4.516935e+02   1.488956e+03   0.000000e+00   5.945593e-04   4.721786e-01   0.000000e+00              1
  1.231775e+00              0   1.003716e+02   1.226225e+02  -1.275427e-01  -1.839262e+01   1.588637e+03  -5.422411e+01   0.000000e+00   5.422411e+01   0.000000e+00   4.567927e+02   1.498978e+03   0.000000e+00   5.688628e-04   4.753765e-01   0.000000e+00              1
  1.238075e+00              0   1.005365e+02   1.231470e+02  -1.244036e-01  -1.860998e+01   1.592790e+03  -5.351394e+01   0.000000e+00   5.351394e+01   0.000000e+00   4.619210e+02   1.509026e+03   0.000000e+00   5.440186e-04   4.785466e-01   0.000000e+00              1
  1.244376e+00              0   1.007010e+02   1.236718e+02  -1.213478e-01  -1.882754e+01   1.596946e+03  -5.280402e+01   0.000000e+00   5.280402e+01   0.000000e+00   4.670788e+02   1.519100e+03   0.000000e+00   5.200056e-04   4.816901e-01   0.000000e+00              1
  1.250676e+00              0   1.008649e+02   1.241969e+02  -1.183730e-01  -1.904534e+01   1.601104e+03  -5.209436e+01   0.000000e+00   5.209436e+01   0.000000e+00   4.722667e+02   1.529199e+03   0.000000e+00   4.968031e-04   4.848077e-01   0.000000e+00              1
  1.256976e+00              0   1.010297e+02   1.247171e+02  -1.154820e-01  -1.926705e+01   1.605211e+03  -5.141410e+01   0.000000e+00   5.141410e+01   0.000000e+00   4.774164e+02   1.539323e+03   0.000000e+00   4.751983e-04   4.879932e-01   0.000000e+00              1
  1.263276e+00              0   1.011957e+02   1.252311e+02  -1.126734e-01  -1.949369e+01   1.609252e+03  -5.077145e+01   0.000000e+00   5.077145e+01   0.000000e+00   4.825084e+02   1.549473e+03   0.000000e+00   4.553171e-04   4.912711e-01   0.000000e+00              1
