# SFHo EOS Table: 2famphi, nucleons_hyperons_deltas
# Equilibrium: beta_eq
# Components: photons
#            n_B              T          sigma          omega            rho            phi           mu_B           mu_C           mu_S           mu_e          mu_nu        P_total        e_total        s_total            Y_C            Y_S            Y_L      converged
  1.544352e-01              0   2.893453e+01   1.635906e+01  -6.660504e+00   0.000000e+00   9.687484e+02  -1.215886e+02   0.000000e+00   1.215886e+02   0.000000e+00   2.290817e+00   1.458339e+02   0.000000e+00   5.116119e-02   0.000000e+00   0.000000e+00              1
  1.607354e-01              0   2.986261e+01   1.700577e+01  -6.720436e+00   0.000000e+00   9.702208e+02  -1.239890e+02   0.000000e+00   1.239890e+02   0.000000e+00   2.522886e+00   1.517908e+02   0.000000e+00   5.212510e-02   0.000000e+00   0.000000e+00              1
  1.670356e-01              0   3.077759e+01   1.765518e+01  -6.766888e+00   0.000000e+00   9.717589e+02  -1.262737e+02   0.000000e+00   1.262737e+02   0.000000e+00   2.774993e+00   1.577535e+02   0.000000e+00   5.298325e-02   0.000000e+00   0.000000e+00              1
  1.733359e-01              0   3.167966e+01   1.830757e+01  -6.800653e+00   0.000000e+00   9.733678e+02  -1.284505e+02   0.000000e+00   1.284505e+02   0.000000e+00   3.048850e+00   1.637232e+02   0.000000e+00   5.374378e-02   0.000000e+00   0.000000e+00              1
  1.796361e-01              0   3.256898e+01   1.896314e+01  -6.822523e+00   0.000000e+00   9.750523e+02  -1.305271e+02   0.000000e+00   1.305271e+02   0.000000e+00   3.346168e+00   1.697009e+02   0.000000e+00   5.441487e-02   0.000000e+00   0.000000e+00              1
  1.859363e-01              0   3.344572e+01   1.962204e+01  -6.833283e+00   0.000000e+00   9.768162e+02  -1.325107e+02   0.000000e+00   1.325107e+02   0.000000e+00   3.668636e+00   1.756879e+02   0.000000e+00   5.500459e-02   0.000000e+00   0.000000e+00              1
  1.922366e-01              0   3.431005e+01   2.028437e+01  -6.833706e+00   0.000000e+00   9.786631e+02  -1.344087e+02   0.000000e+00   1.344087e+02   0.000000e+00   4.017912e+00   1.816851e+02   0.000000e+00   5.552082e-02   0.000000e+00   0.000000e+00              1
  1.985368e-01              0   3.516213e+01   2.095019e+01  -6.824552e+00   0.000000e+00   9.805960e+02  -1.362275e+02   0.000000e+00   1.362275e+02   0.000000e+00   4.395604e+00   1.876938e+02   0.000000e+00   5.597114e-02   0.000000e+00   0.000000e+00              1
  2.048370e-01              0   3.600211e+01   2.161950e+01  -6.806557e+00   0.000000e+00   9.826170e+02  -1.379739e+02   0.000000e+00   1.379739e+02   0.000000e+00   4.803262e+00   1.937148e+02   0.000000e+00   5.636282e-02   0.000000e+00   0.000000e+00              1
  2.111373e-01              0   3.683016e+01   2.229229e+01  -6.780433e+00   0.000000e+00   9.847280e+02  -1.396537e+02   0.000000e+00   1.396537e+02   0.000000e+00   5.242370e+00   1.997493e+02   0.000000e+00   5.670270e-02   0.000000e+00   0.000000e+00              1
  2.174375e-01              0   3.764644e+01   2.296849e+01  -6.746864e+00   0.000000e+00   9.869303e+02  -1.412729e+02   0.000000e+00   1.412729e+02   0.000000e+00   5.714339e+00   2.057982e+02   0.000000e+00   5.699720e-02   0.000000e+00   0.000000e+00              1
  2.237377e-01              0   3.845113e+01   2.364801e+01  -6.706503e+00   0.000000e+00   9.892247e+02  -1.428369e+02   0.000000e+00   1.428369e+02   0.000000e+00   6.220506e+00   2.118623e+02   0.000000e+00   5.725229e-02   0.000000e+00   0.000000e+00              1
  2.300380e-01              0   3.924439e+01   2.433076e+01  -6.659971e+00   0.000000e+00   9.916116e+02  -1.443506e+02   0.000000e+00   1.443506e+02   0.000000e+00   6.762127e+00   2.179426e+02   0.000000e+00   5.747349e-02   0.000000e+00   0.000000e+00              1
  2.363382e-01              0   4.002640e+01   2.501659e+01  -6.607853e+00   0.000000e+00   9.940912e+02  -1.458188e+02   0.000000e+00   1.458188e+02   0.000000e+00   7.340384e+00   2.240398e+02   0.000000e+00   5.766582e-02   0.000000e+00   0.000000e+00              1
  2.426384e-01              0   4.079734e+01   2.570537e+01  -6.550698e+00   0.000000e+00   9.966631e+02  -1.472459e+02   0.000000e+00   1.472459e+02   0.000000e+00   7.956381e+00   2.301546e+02   0.000000e+00   5.783386e-02   0.000000e+00   0.000000e+00              1
  2.489387e-01              0   4.155738e+01   2.639696e+01  -6.489019e+00   0.000000e+00   9.993269e+02  -1.486360e+02   0.000000e+00   1.486360e+02   0.000000e+00   8.611149e+00   2.362878e+02   0.000000e+00   5.798173e-02   0.000000e+00   0.000000e+00              1
  2.552389e-01              0   4.230669e+01   2.709119e+01  -6.423292e+00   0.000000e+00   1.002082e+03  -1.499925e+02   0.000000e+00   1.499925e+02   0.000000e+00   9.305650e+00   2.424401e+02   0.000000e+00   5.811312e-02   0.000000e+00   0.000000e+00              1
  2.615391e-01              0   4.304545e+01   2.778790e+01  -6.353958e+00   0.000000e+00   1.004927e+03  -1.513191e+02   0.000000e+00   1.513191e+02   0.000000e+00   1.004078e+01   2.486120e+02   0.000000e+00   5.823131e-02   0.000000e+00   0.000000e+00              1
  2.678394e-01              0   4.377384e+01   2.848694e+01  -6.281422e+00   0.000000e+00   1.007860e+03  -1.526186e+02   0.000000e+00   1.526186e+02   0.000000e+00   1.081738e+01   2.548041e+02   0.000000e+00   5.833919e-02   0.000000e+00   0.000000e+00              1
  2.741396e-01              0   4.449203e+01   2.918816e+01  -6.206056e+00   0.000000e+00   1.010882e+03  -1.538939e+02   0.000000e+00   1.538939e+02   0.000000e+00   1.163623e+01   2.610170e+02   0.000000e+00   5.843929e-02   0.000000e+00   0.000000e+00              1
  2.804398e-01              0   4.520019e+01   2.989140e+01  -6.128199e+00   0.000000e+00   1.013990e+03  -1.551474e+02   0.000000e+00   1.551474e+02   0.000000e+00   1.249806e+01   2.672511e+02   0.000000e+00   5.853380e-02   0.000000e+00   0.000000e+00              1
  2.867401e-01              0   4.589849e+01   3.059652e+01  -6.048157e+00   0.000000e+00   1.017183e+03  -1.563815e+02   0.000000e+00   1.563815e+02   0.000000e+00   1.340358e+01   2.735070e+02   0.000000e+00   5.862462e-02   0.000000e+00   0.000000e+00              1
  2.930403e-01              0   4.658709e+01   3.130338e+01  -5.966212e+00   0.000000e+00   1.020459e+03  -1.575979e+02   0.000000e+00   1.575979e+02   0.000000e+00   1.435343e+01   2.797850e+02   0.000000e+00   5.871337e-02   0.000000e+00   0.000000e+00              1
  2.993405e-01              0   4.726616e+01   3.201187e+01  -5.882613e+00   0.000000e+00   1.023818e+03  -1.587986e+02   0.000000e+00   1.587986e+02   0.000000e+00   1.534825e+01   2.860858e+02   0.000000e+00   5.880140e-02   0.000000e+00   0.000000e+00              1
  3.056408e-01              0   4.793584e+01   3.272186e+01  -5.797588e+00   0.000000e+00   1.027257e+03  -1.599851e+02   0.000000e+00   1.599851e+02   0.000000e+00   1.638862e+01   2.924096e+02   0.000000e+00   5.888987e-02   0.000000e+00   0.000000e+00              1
  3.119410e-01              0   4.859631e+01   3.343325e+01  -5.711340e+00   0.000000e+00   1.030775e+03  -1.611588e+02   0.000000e+00   1.611588e+02   0.000000e+00   1.747513e+01   2.987569e+02   0.000000e+00   5.897971e-02   0.000000e+00   0.000000e+00              1
  3.182412e-01              0   4.924770e+01   3.414595e+01  -5.624052e+00   0.000000e+00   1.034372e+03  -1.623208e+02   0.000000e+00   1.623208e+02   0.000000e+00   1.860833e+01   3.051282e+02   0.000000e+00   5.907170e-02   0.000000e+00   0.000000e+00              1
  3.245415e-01              0   4.989016e+01   3.485988e+01  -5.535886e+00   0.000000e+00   1.038044e+03  -1.634723e+02   0.000000e+00   1.634723e+02   0.000000e+00   1.978877e+01   3.115238e+02   0.000000e+00   5.916645e-02   0.000000e+00   0.000000e+00              1
  3.308417e-01              0   5.052384e+01   3.557496e+01  -5.446988e+00   0.000000e+00   1.041792e+03  -1.646141e+02   0.000000e+00   1.646141e+02   0.000000e+00   2.101700e+01   3.179442e+02   0.000000e+00   5.926444e-02   0.000000e+00   0.000000e+00              1
  3.371419e-01              0   5.114887e+01   3.629114e+01  -5.357487e+00   0.000000e+00   1.045614e+03  -1.657471e+02   0.000000e+00   1.657471e+02   0.000000e+00   2.229353e+01   3.243898e+02   0.000000e+00   5.936605e-02   0.000000e+00   0.000000e+00              1
