#            e_c             P_c            n_Bc               R               M             M_B
  1.00000000e+02   3.50328472e-01   2.56626506e-01   1.71980875e+00   3.93500573e-03   4.57561917e-03
  1.03864882e+02   3.50328472e-01   2.56626506e-01   1.71980875e+00   3.93500573e-03   4.57561917e-03
  1.07879138e+02   3.50328472e-01   2.56626506e-01   1.71980875e+00   3.93500573e-03   4.57561917e-03
  1.12048540e+02   3.50328472e-01   2.56626506e-01   1.71980875e+00   3.93500573e-03   4.57561917e-03
  1.16379085e+02   3.50328472e-01   2.56626506e-01   1.71980875e+00   3.93500573e-03   4.57561917e-03
  1.20876999e+02   3.50328472e-01   2.56626506e-01   1.71980875e+00   3.93500573e-03   4.57561917e-03
  1.25548753e+02   3.50328472e-01   2.56626506e-01   1.71980875e+00   3.93500573e-03   4.57561917e-03
  1.30401065e+02   3.50328472e-01   2.56626506e-01   1.71980875e+00   3.93500573e-03   4.57561917e-03
  1.35440913e+02   3.50328472e-01   2.56626506e-01   1.71980875e+00   3.93500573e-03   4.57561917e-03
  1.40675545e+02   3.50328472e-01   2.56626506e-01   1.71980875e+00   3.93500573e-03   4.57561917e-03
  1.46112490e+02   3.50328472e-01   2.56626506e-01   1.71980875e+00   3.93500573e-03   4.57561917e-03
  1.51759566e+02   3.50328472e-01   2.56626506e-01   1.71980875e+00   3.93500573e-03   4.57561917e-03
  1.57624895e+02   3.50328472e-01   2.56626506e-01   1.71980875e+00   3.93500573e-03   4.57561917e-03
  1.63716912e+02   3.50328472e-01   2.56626506e-01   1.71980875e+00   3.93500573e-03   4.57561917e-03
  1.70044378e+02   3.50328472e-01   2.56626506e-01   1.71980875e+00   3.93500573e-03   4.57561917e-03
  1.76616393e+02   3.50328472e-01   2.56626506e-01   1.71980875e+00   3.93500573e-03   4.57561917e-03
  1.83442409e+02   3.50328472e-01   2.56626506e-01   1.71980875e+00   3.93500573e-03   4.57561917e-03
  1.90532243e+02   3.50328472e-01   2.56626506e-01   1.71980875e+00   3.93500573e-03   4.57561917e-03
  1.97896090e+02   3.50328472e-01   2.56626506e-01   1.71980875e+00   3.93500573e-03   4.57561917e-03
  2.05544542e+02   3.50328472e-01   2.56626506e-01   1.71980875e+00   3.93500573e-03   4.57561917e-03
  2.13488597e+02   3.04563697e+00   2.66220078e-01   4.82280697e+00   8.83397101e-02   1.04215167e-01
  2.21739680e+02   6.00839262e+00   2.76033463e-01   6.47804296e+00   2.16991753e-01   2.59651334e-01
  2.30309658e+02   9.07992521e+00   2.86278802e-01   7.61567970e+00   3.57549129e-01   4.33442875e-01
  2.39210856e+02   1.22644478e+01   2.96912347e-01   8.47253505e+00   4.99413786e-01   6.12690315e-01
  2.48456074e+02   1.55663294e+01   3.07791672e-01   9.14676329e+00   6.37513221e-01   7.90747901e-01
  2.58058610e+02   1.89901038e+01   3.18926428e-01   9.69109196e+00   7.69302997e-01   9.63917458e-01
  2.68032272e+02   2.25404755e+01   3.30324572e-01   1.01380898e+01   8.93579480e-01   1.13013667e+00
  2.78391404e+02   2.62223275e+01   3.41993604e-01   1.05093215e+01   1.00988743e+00   1.28830876e+00
  2.89150905e+02   3.00407284e+01   3.53940985e-01   1.08202695e+01   1.11817747e+00   1.43789949e+00
  3.00326247e+02   3.40009375e+01   3.66254981e-01   1.10816471e+01   1.21859280e+00   1.57866761e+00
  3.11933504e+02   3.81084009e+01   3.78919630e-01   1.13024728e+01   1.31148474e+00   1.71070864e+00
  3.23989367e+02   4.23687856e+01   3.91871910e-01   1.14884852e+01   1.39716804e+00   1.83410186e+00
  3.36511176e+02   4.67879786e+01   4.05158871e-01   1.16456031e+01   1.47612941e+00   1.94922681e+00
  3.49516937e+02   5.13720709e+01   4.18850835e-01   1.17781120e+01   1.54879450e+00   2.05641493e+00
  3.63025356e+02   5.61274010e+01   4.32851983e-01   1.18888030e+01   1.61552116e+00   2.15593030e+00
  3.77055860e+02   6.10605488e+01   4.47274871e-01   1.19813810e+01   1.67682956e+00   2.24832781e+00
  3.91628626e+02   6.61783326e+01   4.62048476e-01   1.20572512e+01   1.73293430e+00   2.33371391e+00
  4.06764612e+02   7.14878483e+01   4.77249773e-01   1.21191010e+01   1.78434458e+00   2.41269190e+00
  4.22485586e+02   7.69964474e+01   4.92826364e-01   1.21681772e+01   1.83127269e+00   2.48541901e+00
  4.38814157e+02   8.27117713e+01   5.08862991e-01   1.22064476e+01   1.87418708e+00   2.55249081e+00
  4.55773809e+02   8.86417540e+01   5.25314161e-01   1.22351160e+01   1.91332367e+00   2.61414933e+00
  4.73388931e+02   9.47946256e+01   5.42201842e-01   1.22545424e+01   1.94883575e+00   2.67051130e+00
  4.91684857e+02   1.01178939e+02   5.59573752e-01   1.22664489e+01   1.98109538e+00   2.72208271e+00
  5.10687899e+02   1.07803573e+02   5.77414106e-01   1.22713640e+01   2.01032275e+00   2.76912417e+00
  5.30425386e+02   1.14677744e+02   5.95738847e-01   1.22702523e+01   2.03672451e+00   2.81189560e+00
  5.50925704e+02   1.21811025e+02   6.14565376e-01   1.22632161e+01   2.06041742e+00   2.85050450e+00
  5.72218335e+02   1.29213352e+02   6.33909951e-01   1.22508534e+01   2.08162506e+00   2.88525958e+00
  5.94333902e+02   1.36895046e+02   6.53788168e-01   1.22343375e+01   2.10059721e+00   2.91652715e+00
  6.17304209e+02   1.44866823e+02   6.74215287e-01   1.22135719e+01   2.11738768e+00   2.94433766e+00
  6.41162291e+02   1.53139810e+02   6.95206484e-01   1.21892883e+01   2.13222332e+00   2.96903511e+00
  6.65942460e+02   1.61725560e+02   7.16777017e-01   1.21620565e+01   2.14525438e+00   2.99083691e+00
  6.91680354e+02   1.70636074e+02   7.38945144e-01   1.21313908e+01   2.15649510e+00   3.00971928e+00
  7.18412987e+02   1.79883808e+02   7.61735825e-01   1.20979996e+01   2.16609301e+00   3.02590542e+00
  7.46178804e+02   1.89481699e+02   7.85155929e-01   1.20619523e+01   2.17411963e+00   3.03948783e+00
  7.75017738e+02   1.99443185e+02   8.09227294e-01   1.20239627e+01   2.18078681e+00   3.05081587e+00
  8.04971263e+02   2.09782214e+02   8.33973427e-01   1.19841039e+01   2.18615929e+00   3.05997836e+00
  8.36082457e+02   2.20513275e+02   8.59408194e-01   1.19427711e+01   2.19033533e+00   3.06712983e+00
  8.68396061e+02   2.31651410e+02   8.85553146e-01   1.18995059e+01   2.19330926e+00   3.07223339e+00
  9.01958549e+02   2.43212245e+02   9.12433574e-01   1.18547259e+01   2.19519352e+00   3.07547319e+00
  9.36818187e+02   2.55212001e+02   9.40065375e-01   1.18087268e+01   2.19605563e+00   3.07695583e+00
