sequence,M_B_Msun,M_Msun,R_km,nBc_over_n0,Tc_MeV
NS,1.951962,1.682106,9.546483,9.206260265319015,0.0
QS,0.00457561917,0.00393500573,1.71980875,1.621140277953253,0.0
QS,0.00457561917,0.00393500573,1.71980875,1.621140277953253,0.0
QS,0.00457561917,0.00393500573,1.71980875,1.621140277953253,0.0
QS,0.00457561917,0.00393500573,1.71980875,1.621140277953253,0.0
QS,0.00457561917,0.00393500573,1.71980875,1.621140277953253,0.0
QS,0.00457561917,0.00393500573,1.71980875,1.621140277953253,0.0
QS,0.00457561917,0.00393500573,1.71980875,1.621140277953253,0.0
QS,0.00457561917,0.00393500573,1.71980875,1.621140277953253,0.0
QS,0.00457561917,0.00393500573,1.71980875,1.621140277953253,0.0
QS,0.00457561917,0.00393500573,1.71980875,1.621140277953253,0.0
QS,0.00457561917,0.00393500573,1.71980875,1.621140277953253,0.0
QS,0.00457561917,0.00393500573,1.71980875,1.621140277953253,0.0
QS,0.00457561917,0.00393500573,1.71980875,1.621140277953253,0.0
QS,0.00457561917,0.00393500573,1.71980875,1.621140277953253,0.0
QS,0.00457561917,0.00393500573,1.71980875,1.621140277953253,0.0
QS,0.00457561917,0.00393500573,1.71980875,1.621140277953253,0.0
QS,0.00457561917,0.00393500573,1.71980875,1.621140277953253,0.0
QS,0.00457561917,0.00393500573,1.71980875,1.621140277953253,0.0
QS,0.00457561917,0.00393500573,1.71980875,1.621140277953253,0.0
QS,0.00457561917,0.00393500573,1.71980875,1.621140277953253,0.0
QS,0.104215167,0.0883397101,4.82280697,1.6817440176879346,0.0
QS,0.259651334,0.216991753,6.47804296,1.7437363423878711,0.0
QS,0.433442875,0.357549129,7.6156797,1.8084573720783323,0.0
QS,0.612690315,0.499413786,8.47253505,1.8756307454200887,0.0
QS,0.790747901,0.637513221,9.14676329,1.944356740366393,0.0
QS,0.963917458,0.769302997,9.69109196,2.014696323436513,0.0
QS,1.13013667,0.89357948,10.1380898,2.0866997599494628,0.0
QS,1.28830876,1.00988743,10.5093215,2.160414428300695,0.0
QS,1.43789949,1.11817747,10.8202695,2.2358874605180037,0.0
QS,1.57866761,1.2185928,11.0816471,2.313676443461781,0.0
QS,1.71070864,1.31148474,11.3024728,2.393680543272268,0.0
QS,1.83410186,1.39716804,11.4884852,2.4755016424510425,0.0
QS,1.94922681,1.47612941,11.6456031,2.5594369614655714,0.0
QS,2.05641493,1.5487945,11.778112,2.6459307327858497,0.0
QS,2.1559303,1.61552116,11.888803,2.734377656348705,0.0
QS,2.24832781,1.67682956,11.981381,2.825488761844599,0.0
QS,2.33371391,1.7329343,12.0572512,2.9188153885028427,0.0
QS,2.4126919,1.78434458,12.119101,3.0148437965887553,0.0
QS,2.48541901,1.83127269,12.1681772,3.113242981680354,0.0
QS,2.55249081,1.87418708,12.2064476,3.214548269109286,0.0
QS,2.61414933,1.91332367,12.235116,3.3184722741629815,0.0
QS,2.6705113,1.94883575,12.2545424,3.4251537713202778,0.0
QS,2.72208271,1.98109538,12.2664489,3.534894200884397,0.0
QS,2.76912417,2.01032275,12.271364,3.6475938471257106,0.0
QS,2.8118956,2.03672451,12.2702523,3.7633534238787116,0.0
QS,2.8505045,2.06041742,12.2632161,3.8822828553379662,0.0
QS,2.88525958,2.08162506,12.2508534,4.004484845230575,0.0
QS,2.91652715,2.10059721,12.2343375,4.1300579153506,0.0
QS,2.94433766,2.11738768,12.2135719,4.259098464939988,0.0
QS,2.96903511,2.13222332,12.1892883,4.391702362602653,0.0
QS,2.99083691,2.14525438,12.1620565,4.527965994946304,0.0
QS,3.00971928,2.1564951,12.1313908,4.668004699936829,0.0
QS,3.02590542,2.16609301,12.0979996,4.81197615287429,0.0
QS,3.03948783,2.17411963,12.0619523,4.959923746051801,0.0
QS,3.05081587,2.18078681,12.0239627,5.111985432722679,0.0
QS,3.05997836,2.18615929,11.9841039,5.268309709412508,0.0
QS,3.06712983,2.19033533,11.9427711,5.4289841692988,0.0
QS,3.07223339,2.19330926,11.8995059,5.594144952621605,0.0
QS,3.07547319,2.19519352,11.8547259,5.763951825647505,0.0
QS,3.07695583,2.19605563,11.8087268,5.938505211623499,0.0
PNS ($t_0$),0.4963789,0.4985706,34.14345,0.9573998736576123,12.83330417122994
PNS ($t_0$),0.5045756,0.5066261,32.75757,0.9843543903979786,13.097586278213392
PNS ($t_0$),0.5136238,0.5155016,31.55869,1.0120473783954516,13.367689367639121
PNS ($t_0$),0.5235473,0.5252174,30.39575,1.040427668982944,13.64265868797816
PNS ($t_0$),0.5343609,0.5357839,29.32635,1.0696064434617814,13.924081194863735
PNS ($t_0$),0.546094,0.5472265,28.36959,1.0995938092229942,14.211893108472745
PNS ($t_0$),0.5587478,0.5595418,27.36591,1.1303581806696148,14.505328348623854
PNS ($t_0$),0.5723327,0.572735,26.50261,1.1619191408717626,14.80444561537729
PNS ($t_0$),0.5868782,0.5868305,25.63811,1.1943316487681617,15.109885410377284
PNS ($t_0$),0.6023668,0.6018052,24.85837,1.2276083385975995,15.421547671185042
PNS ($t_0$),0.618821,0.6176753,24.14874,1.2617643714466205,15.73932363591632
PNS ($t_0$),0.6362737,0.6344679,23.47096,1.2968104864181933,16.06300526244782
PNS ($t_0$),0.6546817,0.6521329,22.79966,1.3327681617182565,16.39232725838452
PNS ($t_0$),0.6740659,0.6706846,22.20648,1.369644346178143,16.726795566807404
PNS ($t_0$),0.6944162,0.6901065,21.65069,1.4074731522425774,17.06640315132853
PNS ($t_0$),0.715727,0.7103856,21.13985,1.4462741629816802,17.410675087694237
PNS ($t_0$),0.7379812,0.7314985,20.65815,1.4860650663297537,17.75896274911908
PNS ($t_0$),0.7611489,0.7534082,20.206,1.5268654453569173,18.11047932319609
PNS ($t_0$),0.7852115,0.7760904,19.80723,1.5686955148452306,18.464260548069138
PNS ($t_0$),0.8101229,0.7994929,19.40261,1.611573594440935,18.819162658963208
PNS ($t_0$),0.835848,0.8235755,19.03797,1.655520530638029,19.173146078758155
PNS ($t_0$),0.8623232,0.8482708,18.70161,1.7005615919140873,19.524902452303103
PNS ($t_0$),0.8894903,0.8735173,18.38389,1.7467163613392294,19.872898326084886
PNS ($t_0$),0.9172843,0.8992482,18.08975,1.7940031585596967,20.21535128009777
PNS ($t_0$),0.9456222,0.9253803,17.81753,1.8424384080859126,20.55047083648138
PNS ($t_0$),0.9744225,0.9518325,17.55925,1.8920397978521795,20.87620280097773
PNS ($t_0$),1.003597,0.9785194,17.31815,1.9428704990524321,21.18846305768071
PNS ($t_0$),1.033066,1.005365,17.09207,1.9949102969046113,21.488286772800862
PNS ($t_0$),1.062738,1.032281,16.88815,2.0481819330385345,21.77465537418853
PNS ($t_0$),1.092538,1.059197,16.68934,2.102739102969046,22.0432302938002
PNS ($t_0$),1.122378,1.086033,16.4922,2.1585818066961466,22.296556798406428
PNS ($t_0$),1.152204,1.112741,16.3196,2.2157359444093494,22.533593861464713
PNS ($t_0$),1.181948,1.139257,16.14685,2.2742476310802275,22.753467913432694
PNS ($t_0$),1.211559,1.165539,15.98635,2.3341111813013264,22.958441684867143
PNS ($t_0$),1.240991,1.191544,15.83769,2.395375868603917,23.147338339602875
PNS ($t_0$),1.270212,1.217247,15.68842,2.4580492735312696,23.32255579537157
PNS ($t_0$),1.299176,1.24261,15.54786,2.5221655085281114,23.484543836483976
PNS ($t_0$),1.32787,1.267623,15.41399,2.5877504737839545,23.63369362845624
PNS ($t_0$),1.35627,1.292267,15.28422,2.654816803537587,23.771999652391987
PNS ($t_0$),1.384355,1.316525,15.15859,2.7233954516740364,23.8995270447439
PNS ($t_0$),1.41209,1.340372,15.03668,2.7935085281111816,24.016480025237296
PNS ($t_0$),1.43946,1.363797,14.91774,2.8651762476310805,24.123879199390494
PNS ($t_0$),1.466443,1.386781,14.80168,2.9384181933038533,24.22170872069584
PNS ($t_0$),1.493002,1.409303,14.6881,3.0132577384712573,24.309812797371514
PNS ($t_0$),1.51912,1.431346,14.5773,3.0897169930511685,24.38784300434907
PNS ($t_0$),1.544757,1.452882,14.46826,3.1678142766898296,24.455306043363016
PNS ($t_0$),1.569868,1.473881,14.36198,3.247569804169299,24.511594695406497
PNS ($t_0$),1.594429,1.494323,14.25703,3.329005685407455,24.55605213199581
PNS ($t_0$),1.618375,1.514161,14.15396,3.412146557169931,24.587965884164245
PNS ($t_0$),1.641681,1.533381,14.05264,3.497014529374605,24.606690228246723
PNS ($t_0$),1.664284,1.551936,13.953,3.5836329753632343,24.611628357353737
PNS ($t_0$),1.686147,1.569801,13.85518,3.6720277953253313,24.602318608002793
PNS ($t_0$),1.707218,1.586943,13.76241,3.762228679722047,24.578417865974636
PNS ($t_0$),1.727454,1.603335,13.66493,3.854262160454833,24.539098912256755
PNS ($t_0$),1.746815,1.618949,13.57419,3.948175615919141,24.48522817339132
PNS ($t_0$),1.765259,1.63376,13.48468,4.043969677826911,24.41706614678899
PNS ($t_0$),1.782747,1.647749,13.39325,4.141746683512318,24.33493167484088
PNS ($t_0$),1.799261,1.660903,13.30684,4.241506001263424,24.240739789375112
PNS ($t_0$),1.814777,1.673214,13.22327,4.343285533796589,24.13589335031665
PNS ($t_0$),1.829273,1.684675,13.14352,4.447151610865445,24.02351644159802
PNS ($t_0$),1.842765,1.695302,13.05964,4.553149715729627,23.907168682264057
PNS ($t_0$),1.855245,1.7051,12.98163,4.661315224257739,23.791814140186027
PNS ($t_0$),1.866748,1.7141,12.90581,4.7717359444093495,23.68322172343735
PNS ($t_0$),1.877308,1.722337,12.83129,4.884451674036639,23.588053124980156
PNS ($t_0$),1.886973,1.729854,12.75836,4.999524952621605,23.513310009840957
PNS ($t_0$),1.8958,1.736702,12.68955,5.11697978521794,23.46547095012857
PNS ($t_0$),1.903857,1.742933,12.61642,5.236896399241946,23.44933585314752
PNS ($t_0$),1.911194,1.748596,12.5461,5.3593183828174356,23.46720624361131
PNS ($t_0$),1.917857,1.753726,12.476,5.48427416298168,23.518406358845752
PNS ($t_0$),1.923882,1.758356,12.40332,5.6118041692988,23.599593896384242
PNS ($t_0$),1.929281,1.762497,12.33146,5.741951358180669,23.70551460604425
PNS ($t_0$),1.934073,1.766167,12.26088,5.874728995578017,23.830135539260034
PNS ($t_0$),1.938251,1.769363,12.18573,6.010135186355022,23.967317333936478
PNS ($t_0$),1.941823,1.772094,12.11139,6.148238787113076,24.11158830481572
PNS ($t_0$),1.944797,1.774367,12.03726,6.289053063802906,24.25889225484905
PNS ($t_0$),1.947172,1.776186,11.96185,6.432583701831965,24.40651927142857
PNS ($t_0$),1.948966,1.777567,11.88696,6.578888186986735,24.55301855555556
PNS ($t_0$),1.950186,1.778516,11.81077,6.727972204674668,24.698067904761906
PNS ($t_0$),1.950855,1.779052,11.73534,6.879867340492735,24.84206533968254
PNS ($t_0$),1.950984,1.779185,11.65931,7.034624131396083,24.985871555555555
PNS ($t_{T_\mathrm{max}}$),0.5328319,0.531547,26.58281,0.964142135186355,19.778592721616434
PNS ($t_{T_\mathrm{max}}$),0.5449083,0.5432274,25.91575,0.9912469993682882,20.16153339132091
PNS ($t_{T_\mathrm{max}}$),0.557661,0.5555399,25.24218,1.0191162349968415,20.55093362305958
PNS ($t_{T_\mathrm{max}}$),0.5710985,0.5684895,24.66269,1.0477043588123816,20.942987510237767
PNS ($t_{T_\mathrm{max}}$),0.5852309,0.5820826,24.05221,1.077054958938724,21.338360248242147
PNS ($t_{T_\mathrm{max}}$),0.6000439,0.5963013,23.48858,1.1072053063802907,21.737671385035394
PNS ($t_{T_\mathrm{max}}$),0.6155533,0.6111576,22.97863,1.13816677195199,22.13990787355957
PNS ($t_{T_\mathrm{max}}$),0.6317292,0.6266178,22.47415,1.169936197094125,22.541784067172472
PNS ($t_{T_\mathrm{max}}$),0.6485894,0.6426963,22.01107,1.202541377132028,22.942740784565814
PNS ($t_{T_\mathrm{max}}$),0.6661041,0.6593598,21.57359,1.236006948831333,23.342895099361925
PNS ($t_{T_\mathrm{max}}$),0.684242,0.6765738,21.16556,1.2703506001263425,23.740875909177486
PNS ($t_{T_\mathrm{max}}$),0.7029997,0.694332,20.77136,1.3055887555274794,24.135231061536754
PNS ($t_{T_\mathrm{max}}$),0.7223463,0.7126009,20.40278,1.3417416298168034,24.524541635821084
PNS ($t_{T_\mathrm{max}}$),0.7422254,0.7313217,20.06116,1.3788288060644347,24.907445974254784
PNS ($t_{T_\mathrm{max}}$),0.762634,0.7504896,19.73466,1.4168704990524321,25.28265616780153
PNS ($t_{T_\mathrm{max}}$),0.7835154,0.7700463,19.43599,1.455890082122552,25.64909396114409
PNS ($t_{T_\mathrm{max}}$),0.8048368,0.7899583,19.14014,1.4959102969046116,26.005862524046854
PNS ($t_{T_\mathrm{max}}$),0.8265618,0.8101882,18.86489,1.5369469361970942,26.352199066234945
PNS ($t_{T_\mathrm{max}}$),0.8486554,0.8307,18.62267,1.5790290587492104,26.68770632011682
PNS ($t_{T_\mathrm{max}}$),0.8710691,0.8514451,18.36671,1.6221762476310801,27.012107723881783
PNS ($t_{T_\mathrm{max}}$),0.8937807,0.8724015,18.13312,1.6664106127605811,27.32534911337555
PNS ($t_{T_\mathrm{max}}$),0.9167482,0.8935271,17.91954,1.7117548957675301,27.62757155963303
PNS ($t_{T_\mathrm{max}}$),0.9399495,0.9147999,17.70823,1.7582299431459256,27.91906472873877
PNS ($t_{T_\mathrm{max}}$),0.9633482,0.9361841,17.51462,1.8058622867972205,28.20027531165183
PNS ($t_{T_\mathrm{max}}$),0.9869152,0.95765,17.3223,1.8546809854706257,28.47081246928669
PNS ($t_{T_\mathrm{max}}$),1.010636,0.9791848,17.14176,1.90471572962729,28.73073555402124
PNS ($t_{T_\mathrm{max}}$),1.034484,1.000762,16.96633,1.95598041692988,28.98224374004
PNS ($t_{T_\mathrm{max}}$),1.058438,1.022361,16.80789,2.0085003158559696,29.226020071108856
PNS ($t_{T_\mathrm{max}}$),1.08248,1.043964,16.64484,2.0623120656980416,29.460658421319955
PNS ($t_{T_\mathrm{max}}$),1.106601,1.065559,16.48553,2.1174327226784584,29.688730027141993
PNS ($t_{T_\mathrm{max}}$),1.130778,1.087129,16.33538,2.1738888186986736,29.910601238690838
PNS ($t_{T_\mathrm{max}}$),1.154993,1.108656,16.19494,2.231708149084018,30.125758944477955
PNS ($t_{T_\mathrm{max}}$),1.179244,1.130135,16.05,2.2909159823120655,30.33628555442684
PNS ($t_{T_\mathrm{max}}$),1.203512,1.151549,15.91241,2.3515356917245738,30.540844996349325
PNS ($t_{T_\mathrm{max}}$),1.227781,1.172885,15.77841,2.413595704358812,30.741308956223612
PNS ($t_{T_\mathrm{max}}$),1.252043,1.194132,15.65066,2.4771143398610236,30.936755661090125
PNS ($t_{T_\mathrm{max}}$),1.276279,1.215276,15.52014,2.542120656980417,31.127801456144248
PNS ($t_{T_\mathrm{max}}$),1.300476,1.236302,15.39442,2.608638029058749,31.314627961684366
PNS ($t_{T_\mathrm{max}}$),1.324613,1.257194,15.27163,2.6766873025900186,31.49611976064252
PNS ($t_{T_\mathrm{max}}$),1.348673,1.277938,15.15079,2.7462886923562855,31.672707838798768
PNS ($t_{T_\mathrm{max}}$),1.372624,1.298503,15.03161,2.817469993682881,31.843973444915317
PNS ($t_{T_\mathrm{max}}$),1.39645,1.318879,14.91409,2.890246367656349,32.00930316878829
PNS ($t_{T_\mathrm{max}}$),1.420125,1.339041,14.79963,2.9646456096020213,32.167969057187754
PNS ($t_{T_\mathrm{max}}$),1.443608,1.358958,14.6857,3.0406734049273534,32.31907664137646
PNS ($t_{T_\mathrm{max}}$),1.466867,1.378603,14.57236,3.1183638660770687,32.46220981714866
PNS ($t_{T_\mathrm{max}}$),1.489874,1.397952,14.46485,3.1977321541377135,32.5966002085615
PNS ($t_{T_\mathrm{max}}$),1.512571,1.416964,14.35316,3.278797220467467,32.72149277800705
PNS ($t_{T_\mathrm{max}}$),1.534936,1.435615,14.24507,3.3615837018319645,32.83619167629599
PNS ($t_{T_\mathrm{max}}$),1.55691,1.453865,14.13874,3.4461111813013265,32.93989612583728
PNS ($t_{T_\mathrm{max}}$),1.578451,1.47168,14.03404,3.532403663929249,33.03206900338079
PNS ($t_{T_\mathrm{max}}$),1.599511,1.489024,13.93081,3.6204870499052433,33.11255993539888
PNS ($t_{T_\mathrm{max}}$),1.620048,1.505867,13.83243,3.7103891345546427,33.181254920161265
PNS ($t_{T_\mathrm{max}}$),1.640013,1.522174,13.72863,3.8021358180669615,33.23819557395003
PNS ($t_{T_\mathrm{max}}$),1.659361,1.537914,13.62949,3.8957624763108023,33.28309818421345
PNS ($t_{T_\mathrm{max}}$),1.678055,1.553059,13.53269,3.991303221730891,33.317327196914384
PNS ($t_{T_\mathrm{max}}$),1.696059,1.567588,13.4373,4.088790903348074,33.34149923272277
PNS ($t_{T_\mathrm{max}}$),1.713341,1.58148,13.34512,4.188270372710044,33.35695656947399
PNS ($t_{T_\mathrm{max}}$),1.729873,1.594719,13.2528,4.2897713202779535,33.36548570426336
PNS ($t_{T_\mathrm{max}}$),1.745639,1.607299,13.16036,4.393356285533797,33.36914757499761
PNS ($t_{T_\mathrm{max}}$),1.760624,1.619212,13.07159,4.49904927353127,33.37041106250595
PNS ($t_{T_\mathrm{max}}$),1.774825,1.630463,12.98389,4.606908401768793,33.37207933017999
PNS ($t_{T_\mathrm{max}}$),1.788243,1.641057,12.90141,4.716976626658243,33.37710060982191
PNS ($t_{T_\mathrm{max}}$),1.800879,1.651003,12.81576,4.829293114339861,33.38878623811564
PNS ($t_{T_\mathrm{max}}$),1.812759,1.660323,12.73021,4.943907770056854,33.410043162706536
PNS ($t_{T_\mathrm{max}}$),1.823891,1.66903,12.64806,5.060876816171826,33.443632420043485
PNS ($t_{T_\mathrm{max}}$),1.834298,1.677146,12.56709,5.180234365129501,33.491849422249736
PNS ($t_{T_\mathrm{max}}$),1.843993,1.684687,12.48611,5.302024636765635,33.556377522657655
PNS ($t_{T_\mathrm{max}}$),1.853002,1.691676,12.40789,5.426291850915983,33.63812863006524
PNS ($t_{T_\mathrm{max}}$),1.861338,1.698127,12.32619,5.553072015161087,33.73732463794801
PNS ($t_{T_\mathrm{max}}$),1.869022,1.704059,12.2466,5.6824011370814915,33.85374087028983
PNS ($t_{T_\mathrm{max}}$),1.876058,1.709481,12.1677,5.814321541377132,33.98609796292181
PNS ($t_{T_\mathrm{max}}$),1.882459,1.714403,12.09053,5.948859759949464,34.13307641868512
PNS ($t_{T_\mathrm{max}}$),1.888234,1.718839,12.01052,6.086058117498421,34.29355941415488
PNS ($t_{T_\mathrm{max}}$),1.893394,1.722796,11.93226,6.225934301958308,34.46579750583306
PNS ($t_{T_\mathrm{max}}$),1.897947,1.726286,11.85435,6.368540745420089,34.648789622222225
PNS ($t_{T_\mathrm{max}}$),1.901899,1.729315,11.77662,6.513885028427037,34.84125155555556
PNS ($t_{T_\mathrm{max}}$),1.905264,1.731897,11.7008,6.662021478205938,35.042476402158385
PNS ($t_{T_\mathrm{max}}$),1.908048,1.734037,11.62156,6.812962728995578,35.25178054435804
PNS ($t_{T_\mathrm{max}}$),1.910263,1.73575,11.54469,6.966746683512318,35.468674404062845
PNS ($t_{T_\mathrm{max}}$),1.91192,1.737044,11.46823,7.123404927353127,35.6928671047619
PNS ($t_{T_\mathrm{max}}$),1.913035,1.737934,11.39244,7.282969046114972,35.924145977777776
PNS ($t_{T_\mathrm{max}}$),1.913615,1.738426,11.31754,7.445476942514214,36.16235594285715
PNS ($t_{T_\mathrm{max}}$),1.913675,1.738534,11.24136,7.610947567909033,36.40740498571428
