T_MeV,tau_thermal_s,tau_quantum_s,W_over_T
1.0,inf,3.33178245534903e+141,7450.281748111471
2.5128205128205128,inf,1.0316928422439042e+141,2958.1205561564793
4.0256410256410255,inf,7.57340004115704e+139,1837.9777466395108
5.538461538461538,inf,2.5821897598356768e+138,1329.680173005215
7.051282051282051,inf,1.0881809676565074e+136,1037.9374455870593
8.564102564102564,inf,5.794886316804071e+132,847.997104282883
10.076923076923077,2.2538387958672157e+232,4.3710335981549945e+128,714.0895608851606
11.58974358974359,4.909942183057837e+189,1.1649939229490592e+124,615.3509929438173
13.102564102564102,4.1975359741864016e+156,7.51066703781755e+118,538.7613490817772
14.615384615384615,1.268360885758341e+130,1.2736462651491866e+113,477.2939951177185
16.128205128205128,1.9707125411169028e+108,7.10564215704946e+106,426.7091870736816
17.641025641025642,1.610803929914498e+90,2.847481262180835e+100,384.72357843796334
19.153846153846153,6.507788186543711e+74,6.549870544623471e+93,348.96454449193294
20.666666666666664,2.9110300486790124e+61,8.447534945088878e+86,317.93079043895676
22.17948717948718,5.673967628083894e+49,7.334659270330496e+79,290.68671264251225
23.692307692307693,3.158738843700545e+39,7.401148804067164e+72,266.8101062713661
25.205128205128204,2.468517223680003e+30,8.096753691378911e+65,245.58739409549034
26.717948717948715,1.553004033777622e+22,8.846410465867026e+58,226.45944763506586
28.23076923076923,582285054284495.9,1.1027903021954285e+52,209.12430108243018
29.743589743589745,118130898.9969999,2.2113280916558216e+45,193.48616879645388
31.256410256410255,101.70167617889824,7.415046132236304e+38,179.30086411886592
32.76923076923077,0.0002771075780872836,3.6523092792979654e+32,166.27256564117422
34.282051282051285,2.1114076389599694e-09,2.8461747005635687e+26,154.2768851778975
35.794871794871796,4.379890234582511e-14,4.2620571594090834e+20,143.2878281774652
37.30769230769231,2.2855457860080278e-18,1316452549221549.2,133.2262882767169
38.82051282051282,2.4821319909102705e-22,7100603393.402732,123.90042336232621
40.33333333333333,5.276657155746701e-26,68399.35224167247,115.24867269417524
41.84615384615385,2.1671734134500021e-29,1.2861032578364657,107.25855220656396
43.35897435897436,1.690620875742167e-32,5.061746859731763e-05,99.91370483302065
44.87179487179487,2.1872366945108245e-35,3.4794112089499595e-09,93.07635686621487
46.38461538461539,4.5254078669719987e-38,4.1362103223250785e-13,86.7100397539961
47.8974358974359,1.4758711021613721e-40,8.701303440173471e-17,80.80068902454471
49.41025641025641,7.679971005086175e-43,3.473854305084004e-20,75.36170883533937
50.92307692307692,5.747509095105067e-45,2.2143015644547082e-23,70.2871916971747
52.43589743589743,6.040827932571527e-47,2.2061676644608303e-26,65.55337309320866
53.94871794871795,8.780090846495322e-49,3.4065234871854335e-29,61.145019679328385
55.46153846153846,1.8024403747852338e-50,8.726933099513153e-32,57.084799122299025
56.97435897435897,4.830859125850954e-52,3.2006658165663106e-34,53.292127207091234
58.48717948717949,1.66160589949807e-53,1.645297276635943e-36,49.749828000995734
60.0,7.217162482233306e-55,1.1612374956459684e-38,46.44177707100532
