M_max_Msun,R_max_km,sigma_crit_star
2.001732131727568,11.272870125815457,62.98179752290907
2.0072183417788234,11.329808201543294,63.294367629095
2.030697694882994,11.43417294531549,65.25902720629983
2.013728458033346,11.387874204298459,65.26116525559385
2.036216865037359,11.491988225537565,65.70708365537583
2.025895501117168,11.382582008522629,66.07241309792963
2.060079881673661,11.598893538133972,67.46460390167434
2.001136936338966,11.364417361368448,67.79436571342369
2.0211605044657226,11.4561062879211,67.79436571342369
2.0426053674573525,11.552204924092829,67.79436571342369
2.021838206992342,11.328457463941335,67.8064626045262
2.065412527758232,11.653470097243698,68.0594121302962
2.055459801337007,11.54304756440057,68.203264569209
2.089754459949392,11.76215720329005,69.60764033255431
2.051610863537821,11.49605380442105,69.9278900004779
2.010732304352899,11.438216389719896,70.22073332303083
2.029568819827474,11.523132991990362,70.22073332303083
2.049933213466544,11.613885633150531,70.22073332303083
2.0716135849500197,11.714464871497217,70.22073332410103
2.018552076129289,11.284425838356958,70.25081501030985
2.085209301529006,11.70993901290817,70.25718084438833
2.095351685444539,11.823686998223332,70.35644253439757
2.1208149572490953,11.937732220216173,71.69413256539016
2.081545427523418,11.660564406677084,71.94897981025447
2.116167805809108,11.881237910477099,72.24433014482648
2.0484397702183825,11.448899831943868,72.4138848883006
2.005160849710818,11.440830211862632,72.54887268087315
2.0212937276317846,11.514176749974412,72.54887268087315
2.038985613019269,11.59786719163591,72.54887268087315
2.0581598494728963,11.685323776137068,72.54887268087315
2.078982431020234,11.78234929323177,72.54887268087315
2.101848246602829,11.885345781717715,72.54887268087315
2.1262218743099126,11.993561597305169,72.60058121175393
2.0160974388833957,11.242430480387712,73.3176327823353
2.151998674831692,12.106464117935468,73.72857301763023
2.1123101902739565,11.829919096715374,73.88826823779235
2.1476496476002516,12.05597844066856,74.17371214858461
2.0785239937149194,11.61302123321861,74.45183427640808
2.018212246599112,11.533033576543806,74.786369607189
2.0330842513221654,11.601309803316676,74.786369607189
2.049528329654662,11.67614335189035,74.786369607189
2.0674700823811163,11.76095854955532,74.786369607189
2.087616980332227,11.851927733655952,74.786369607189
2.109302670122955,11.948644507095477,74.786369607189
2.132544388703587,12.057379866109306,74.786369607189
2.157242528629993,12.168244795245077,74.79535828024535
2.045782685729865,11.402561369877604,75.54009259920709
2.1840639912462847,12.289691650231218,75.71432061965031
2.1439676384715503,12.005689520795366,75.75694124011757
2.1794598798099583,12.233065942223892,76.04984271586778
2.1091816789752795,11.782388163017286,76.38734871069514
2.189549441169627,12.34693319474724,76.93931211136525
2.0460649976198457,11.690136062542397,76.93956241031434
2.0611880273148,11.761337281168899,76.93956241031434
2.0784133078580154,11.842706548238343,76.93956241031434
2.0973116285784084,11.930915256212337,76.93956241031434
2.1177898077905715,12.024178168846234,76.93956241031434
2.1398023528004586,12.12326967963158,76.93956241031434
2.1635269909475547,12.231576270261733,76.93956241031434
2.014162914663608,11.200210194520126,77.22951009547236
2.1758233012574837,12.178398378679367,77.56559577873948
2.076113168980699,11.57064898856991,77.62301221652358
2.2171065073663474,12.467884125989256,77.6539378960614
2.212723695435856,12.415620704764146,77.87796048704213
2.1410022632630663,11.954878432467408,78.23675566683929
2.222359294851091,12.532768489414382,79.01398036824283
2.074767831316356,11.858816587081137,79.01398139712279
2.090652496792577,11.931842927821355,79.01398139712279
2.1081943688745155,12.011756320341718,79.01398139712279
2.1273490631717658,12.098121444566099,79.01398139712279
2.148159378241557,12.19321274145943,79.01398139712279
