prescription,sigma,nBH_over_n0,T_nuc_MeV
LCN,100.0,0.1,96.75091136356396
LCN,100.0,0.13979930511686672,91.45007000733925
LCN,100.0,0.17959867340492736,86.94639123612055
LCN,100.0,0.21939797852179407,83.06136344615653
LCN,100.0,0.25919734680985473,79.6773121946441
LCN,100.0,0.2989966519267214,76.7102948690754
LCN,100.0,0.33879595704358817,74.09614914049327
LCN,100.0,0.3785953253316488,71.78345174853213
LCN,100.0,0.4183946304485155,69.7296008207418
LCN,100.0,0.4581939987365761,67.89863689567682
LCN,100.0,0.49799330385344287,66.25983408244059
LCN,100.0,0.5377926721415035,64.78693685177853
LCN,100.0,0.5775919772583702,63.457467316453844
LCN,100.0,0.6173912823752369,62.25213609366958
LCN,100.0,0.6571907770056854,61.15448885240019
LCN,100.0,0.6969898926089704,60.15041710769564
LCN,100.0,0.7367890082122552,59.227793737980306
LCN,100.0,0.7765887555274795,58.37634473027264
LCN,100.0,0.8163878711307644,57.5871086435929
LCN,100.0,0.8561869867340492,56.852433213082726
LCN,100.0,0.8959867340492736,56.16575338204014
LCN,100.0,0.9357858496525585,55.52131584888177
LCN,100.0,0.9755855969677827,54.914191190065274
LCN,100.0,1.0153847125710675,54.34009464326157
LCN,100.0,1.0551838281743526,53.795268545199434
LCN,100.0,1.0949835754895767,53.27648642191717
LCN,100.0,1.1347826910928616,52.78100209762597
LCN,100.0,1.1745818066961466,52.30633095217643
LCN,100.0,1.214381554011371,51.85031958814101
LCN,100.0,1.2541806696146558,51.41115848239795
LCN,100.0,1.2939797852179407,50.98727501221324
LCN,100.0,1.333779532533165,50.57725915528248
LCN,100.0,1.3735786481364498,50.17992048365625
LCN,100.0,1.413377763739735,49.794237625470444
LCN,100.0,1.453177511054959,49.419248760649026
LCN,100.0,1.4929766266582438,49.05426620392349
LCN,100.0,1.532775742261529,48.69857945448884
LCN,100.0,1.5725754895767532,48.35163495045982
LCN,100.0,1.6123746051800378,48.012853781980134
LCN,100.0,1.652173720783323,47.681904143352995
LCN,100.0,1.6919734680985472,47.35832411524112
LCN,100.0,1.7317725837018318,47.04184881292922
LCN,100.0,1.771571699305117,46.73220768731457
LCN,100.0,1.8113714466203412,46.42908461467065
LCN,100.0,1.8511705622236259,46.13231586669583
LCN,100.0,1.890969677826911,45.84164818736826
LCN,100.0,1.9307694251421352,45.556970354612766
LCN,100.0,1.9705685407454203,45.27804911781629
LCN,100.0,2.010367656348705,45.00484003741813
LCN,100.0,2.050167403663929,44.73710862070682
LCN,100.0,2.089966519267214,44.47480901516779
LCN,100.0,2.129765634870499,44.21771611022846
LCN,100.0,2.169565382185723,43.965802433718245
LCN,100.0,2.209364497789008,43.71887116013378
LCN,100.0,2.249163613392293,43.476832691017634
LCN,100.0,2.2889633607075175,43.23964129383666
LCN,100.0,2.328762476310802,43.00698859507593
LCN,100.0,2.368561591914087,42.77886189856248
LCN,100.0,2.4083613392293115,42.555619429289706
LCN,100.0,2.448160454832596,42.336010184104175
LCN,100.0,2.4879595704358817,42.12098241732929
LCN,100.0,2.5277593177511055,41.91011833579068
LCN,100.0,2.56755843335439,41.702814000850005
LCN,100.0,2.6073575489576757,41.499443831721806
LCN,100.0,2.6471572962728995,41.29945678762738
LCN,100.0,2.686956411876184,41.10297657897407
LCN,100.0,2.726756159191409,40.909861492681216
LCN,100.0,2.7665552747946935,40.72020283373142
LCN,100.0,2.8063543903979786,40.53307162171428
LCN,100.0,2.846154137713203,40.349344331416404
LCN,100.0,2.8859532533164876,40.16762127787146
LCN,100.0,2.9257523689197726,39.98904685531515
LCN,100.0,2.965552116234997,39.81245236134307
LCN,100.0,3.0053512318382816,39.63808596615575
LCN,100.0,3.0451503474415667,39.46562023635635
LCN,100.0,3.084950094756791,39.295248857413185
LCN,100.0,3.124749210360076,39.12663240835093
LCN,100.0,3.1645483259633607,38.95943065041833
LCN,100.0,3.204348073278585,38.7933336879064
LCN,100.0,3.2441471888818696,38.62835556554166
LCN,100.0,3.283946304485155,38.46474553417851
LCN,100.0,3.323746051800379,38.301711234317445
LCN,100.0,3.3635451674036636,38.13920436554434
LCN,100.0,3.403344283006949,37.97728260770689
LCN,100.0,3.443144030322173,37.815441999858464
LCN,100.0,3.4829431459254576,37.653718773335186
LCN,100.0,3.522742261528743,37.49193651423608
LCN,100.0,3.562542008843967,37.33017392321224
LCN,100.0,3.6023411244472525,37.16784357683553
LCN,100.0,3.642140240050537,37.005185679262695
LCN,100.0,3.681939987365761,36.84147890388908
LCN,100.0,3.7217391029690465,36.67676286949859
LCN,100.0,3.761538218572331,36.511316505032504
LCN,100.0,3.801337965887555,36.34477673259495
LCN,100.0,3.8411370814908405,36.17643681565906
LCN,100.0,3.880936197094125,36.00689616432885
LCN,100.0,3.92073594440935,35.83558944814573
LCN,100.0,3.9605350600126346,35.662830272876164
LCN,100.0,4.00033417561592,35.4876890788252
LCN,100.0,4.040133922931144,35.310569075009354
LCN,100.0,4.079933038534429,35.131610891073755
LCN,100.0,4.119732154137713,34.95056638301016
LCN,100.0,4.1595319014529375,34.766548872962275
LCN,100.0,4.199331017056222,34.580702490645436
LCN,100.0,4.239130132659508,34.39186796910662
LCN,100.0,4.278929879974732,34.20017263914171
LCN,100.0,4.318728995578017,34.00587825546505
LCN,100.0,4.358528742893241,33.80906977563259
LCN,100.0,4.3983278584965255,33.609071400812866
LCN,100.0,4.43812697409981,33.40602324230464
LCN,100.0,4.477926721415035,33.20027633053621
LCN,100.0,4.51772583701832,32.991399407180324
LCN,100.0,4.557524952621605,32.779101186224565
LCN,100.0,4.597324699936829,32.56325230989275
LCN,100.0,4.6371238155401135,32.34519711568143
LCN,100.0,4.676922931143398,32.123317430565024
LCN,100.0,4.716722678458623,31.897987694795514
LCN,100.0,4.756521794061908,31.669360283833907
LCN,100.0,4.796320909665193,31.437804354073982
LCN,100.0,4.836120656980417,31.2026981042023
LCN,100.0,4.875919772583702,30.964226878477458
LCN,100.0,4.915718888186986,30.722507730375636
LCN,100.0,4.955518635502211,30.47719659151911
LCN,100.0,4.995317751105496,30.229099175202055
LCN,100.0,5.035116866708781,29.977255553602067
LCN,100.0,5.074916614024005,29.722058339400817
LCN,100.0,5.11471572962729,29.46346608610893
LCN,100.0,5.154514845230575,29.201753048006157
LCN,100.0,5.194314592545799,28.936815141146663
LCN,100.0,5.234113708149084,28.66883993646534
LCN,100.0,5.273912823752369,28.397318893194786
LCN,100.0,5.313712571067593,28.12251998726785
LCN,100.0,5.353511686670878,27.845043930820736
LCN,100.0,5.393310802274163,27.563961056062965
LCN,100.0,5.433110549589387,27.280095377686894
LCN,100.0,5.472909665192672,26.992845125149763
LCN,100.0,5.512708780795958,26.70278675158287
LCN,100.0,5.552508528111181,26.409493995973826
LCN,100.0,5.592307643714466,26.113071663998472
LCN,100.0,5.632106759317751,25.81358048529894
LCN,100.0,5.6719065066329755,25.511475200384506
LCN,100.0,5.711705622236261,25.206635422529782
LCN,100.0,5.751504737839546,24.898463678525
LCN,100.0,5.791304485154769,24.587711678355575
LCN,100.0,5.831103600758055,24.273453423503113
LCN,100.0,5.870902716361339,23.957034230079802
LCN,100.0,5.9107024636765635,23.63786934207662
LCN,100.0,5.950501579279849,23.31583421219794
LCN,100.0,5.990300694883134,22.991338820446796
LCN,100.0,6.030100442198358,22.664891026415273
LCN,100.0,6.069899557801643,22.33552364529206
LCN,100.0,6.109699305116867,22.004378392549366
LCN,100.0,6.149498420720152,21.67008204597043
LCN,100.0,6.189297536323437,21.334436364567907
LCN,100.0,6.22909728363866,20.996345159755673
LCN,100.0,6.268896399241946,20.657280662650734
LCN,100.0,6.308695514845231,20.316724442544377
LCN,100.0,6.348496525584333,19.97524632289957
LCN,100.0,6.3882943777637395,19.632199809453883
LCN,100.0,6.428092229943147,19.28737497017898
LCN,100.0,6.467890082122553,18.942000787670477
LCN,100.0,6.507694251421352,18.596324266177106
LCN,100.0,6.547492103600758,18.251176648216152
LCN,100.0,6.587289955780164,17.906419641688036
LCN,100.0,6.62708780795957,17.562670779009622
LCN,100.0,6.666891977258371,17.218853595725033
LCN,100.0,6.706689829437776,16.874978727532238
LCN,100.0,6.746487681617182,16.53205776289797
LCN,100.0,6.786285533796589,16.19013149483062
LCN,100.0,6.826089703095389,15.850645242292265
LCN,100.0,6.865887555274795,15.513301000436709
LCN,100.0,6.905685407454201,15.180068098383519
LCN,100.0,6.9454832596336065,14.850444668423899
LCN,100.0,6.985287428932407,14.52302859328682
LCN,100.0,7.025085281111814,14.195765184707309
LCN,100.0,7.064883133291219,13.869159185662111
LCN,100.0,7.104680985470625,13.545533446804631
LCN,100.0,7.1444788376500314,13.227588092529759
LCN,100.0,7.1842830069488315,12.916929138522628
LCN,100.0,7.224080859128238,12.612756718300544
LCN,100.0,7.263878711307644,12.315424846481424
LCN,100.0,7.30367656348705,12.023273000933438
LCN,100.0,7.34348073278585,11.734640211406912
LCN,100.0,7.3832785849652565,11.448182851315448
LCN,100.0,7.423076437144663,11.16341669330254
LCN,100.0,7.462874289324068,10.881659186108951
LCN,100.0,7.502678458622867,10.605195169307349
LCN,100.0,7.542476310802275,10.336839189707243
LCN,100.0,7.5822741629816806,10.080325362825166
LCN,100.0,7.622072015161087,9.837925458458258
LCN,100.0,7.661869867340493,9.607812636495915
LCN,100.0,7.701674036639292,9.3765358985611
LCN,100.0,7.741471888818699,9.14434024738086
LCN,100.0,7.7812697409981055,8.910179318888405
LCN,100.0,7.821067593177512,8.673341718204119
LCN,100.0,7.860871762476311,8.434000545674825
LCN,100.0,7.900669614655716,8.193614021245942
LCN,100.0,7.940467466835124,7.954205660290686
LCN,100.0,7.98026531901453,7.720118384121368
LCN,100.0,8.020069488313329,7.498871045785737
LCN,100.0,8.059867340492735,7.292860327000414
LCN,100.0,8.099665192672141,7.100574244233887
LCN,100.0,8.13946304485155,6.919347986902768
LCN,100.0,8.179267214150348,6.746062478514153
LCN,100.0,8.219065066329753,6.577306106690138
LCN,100.0,8.258862918509159,6.409908037592613
LCN,100.0,8.298660770688565,6.239995579344324
LCN,100.0,8.338458622867973,6.063364630316459
LCN,100.0,8.378262792166772,5.874020558476673
LCN,100.0,8.418060644346179,5.668512675150689
LCN,100.0,8.457858496525585,5.450749740191487
LCN,100.0,8.49765634870499,5.232565587790404
LCN,100.0,8.53746051800379,5.027554279506067
LCN,100.0,8.577258370183197,4.844301677149244
LCN,100.0,8.617056222362603,4.6851323791817
LCN,100.0,8.656854074542009,4.548561515955153
LCN,100.0,8.696658243840808,4.449646776879753
LCN,100.0,8.736456096020214,4.3659281599192274
LCN,100.0,8.77625394819962,4.285238535094329
LCN,100.0,8.816051800379027,4.206621212410062
LCN,100.0,8.855855969677828,4.12930751089318
LCN,100.0,8.895653821857234,4.052599269118673
LCN,100.0,8.93545167403664,3.9758304055446594
LCN,100.0,8.975249526216045,3.898303196425526
LCN,100.0,9.015047378395451,3.819080783023552
LCN,100.0,9.054851547694252,3.7373258641620124
LCN,100.0,9.094649399873658,3.652317731786332
LCN,100.0,9.134447252053064,3.5633256123176578
LCN,100.0,9.17424510423247,3.4700237800793707
LCN,100.0,9.21404927353127,3.372297153655548
LCN,100.0,9.253847125710676,3.2702652558817498
LCN,100.0,9.293644977890082,3.1645303774859643
LCN,100.0,9.333442830069488,3.0562758960128216
LCN,100.0,9.373246999368288,2.9470566546353125
LCN,100.0,9.413044851547696,2.838969682587741
LCN,100.0,9.452842703727102,2.734321338102104
LCN,100.0,9.492640555906506,2.6341203291803867
LCN,100.0,9.532438408085913,2.539843606506452
LCN,100.0,9.572242577384712,2.452220921270553
LCN,100.0,9.61204042956412,2.3716715587897554
LCN,100.0,9.651838281743526,2.2982095785506633
LCN,100.0,9.691636133922932,2.2314120262405526
LCN,100.0,9.731440303221731,2.1708624009156283
LCN,100.0,9.771238155401138,2.11601707008224
LCN,100.0,9.811036007580544,2.066249662815169
LCN,100.0,9.85083385975995,2.0211782228796857
LCN,100.0,9.89063802905875,1.9803131933908773
LCN,100.0,9.930435881238155,1.943101320711829
LCN,100.0,9.970233733417562,1.9090401942323643
LCN,100.0,10.010031585596968,1.8777220390366274
LCN,100.0,10.049835754895767,1.8488130958266993
LCN,100.0,10.089633607075173,1.8220215738867875
LCN,100.0,10.12943145925458,1.7971394550704298
LCN,100.0,10.169229311433986,1.7739606551268774
GCN,100.0,0.1,96.74205751754816
GCN,100.0,0.13979930511686672,91.39675905962325
GCN,100.0,0.17959867340492736,86.78495106708095
GCN,100.0,0.21939797852179407,82.70558794521925
GCN,100.0,0.25919734680985473,79.02895075849953
GCN,100.0,0.2989966519267214,75.67075614743537
GCN,100.0,0.33879595704358817,72.57805599471322
GCN,100.0,0.3785953253316488,69.71982784294441
GCN,100.0,0.4183946304485155,67.07947663246061
GCN,100.0,0.4581939987365761,64.64822804105766
GCN,100.0,0.49799330385344287,62.419448698301345
GCN,100.0,0.5377926721415035,60.38504953060476
GCN,100.0,0.5775919772583702,58.533797705901314
GCN,100.0,0.6173912823752369,56.85173945597496
GCN,100.0,0.6571907770056854,55.32329223812186
GCN,100.0,0.6969898926089704,53.93239229043307
GCN,100.0,0.7367890082122552,52.663599429460824
GCN,100.0,0.7765887555274795,51.5025588388518
GCN,100.0,0.8163878711307644,50.436256351240885
GCN,100.0,0.8561869867340492,49.45321490585417
GCN,100.0,0.8959867340492736,48.543363822381615
GCN,100.0,0.9357858496525585,47.697898016709146
GCN,100.0,0.9755855969677827,46.90914122527849
GCN,100.0,1.0153847125710675,46.170406152027155
GCN,100.0,1.0551838281743526,45.475988520678705
GCN,100.0,1.0949835754895767,44.82084568179923
GCN,100.0,1.1347826910928616,44.20069716668394
GCN,100.0,1.1745818066961466,43.61167843238262
GCN,100.0,1.214381554011371,43.05062036823568
GCN,100.0,1.2541806696146558,42.514659122790114
GCN,100.0,1.2939797852179407,42.00130679363325
GCN,100.0,1.333779532533165,41.508447617723654
GCN,100.0,1.3735786481364498,41.034316329508535
GCN,100.0,1.413377763739735,40.577328627153264
GCN,100.0,1.453177511054959,40.13614953319223
GCN,100.0,1.4929766266582438,39.7096096250611
GCN,100.0,1.532775742261529,39.29677470411496
GCN,100.0,1.5725754895767532,38.89688495863365
GCN,100.0,1.6123746051800378,38.50925490348748
GCN,100.0,1.652173720783323,38.13334110694051
GCN,100.0,1.6919734680985472,37.76872234499042
GCN,100.0,1.7317725837018318,37.41501615837188
GCN,100.0,1.771571699305117,37.0720768403634
GCN,100.0,1.8113714466203412,36.7396600047099
GCN,100.0,1.8511705622236259,36.417631516168704
GCN,100.0,1.890969677826911,36.10588435340446
GCN,100.0,1.9307694251421352,35.80442267296256
GCN,100.0,1.9705685407454203,35.513210858163866
GCN,100.0,2.010367656348705,35.232295184430285
GCN,100.0,2.050167403663929,34.96168904865273
GCN,100.0,2.089966519267214,34.70134503818218
GCN,100.0,2.129765634870499,34.451392904524496
GCN,100.0,2.169565382185723,34.2116422250875
GCN,100.0,2.209364497789008,33.98218501684741
GCN,100.0,2.249163613392293,33.762944064703404
GCN,100.0,2.2889633607075175,33.55385728178744
GCN,100.0,2.328762476310802,33.354970750811
GCN,100.0,2.368561591914087,33.16609833597287
GCN,100.0,2.4083613392293115,32.98677781622555
GCN,100.0,2.448160454832596,32.81753983760682
GCN,100.0,2.4879595704358817,32.65702571225457
GCN,100.0,2.5277593177511055,32.505908948077895
GCN,100.0,2.56755843335439,32.36408893265477
GCN,100.0,2.6073575489576757,32.23001858501618
GCN,100.0,2.6471572962728995,32.10430931678297
GCN,100.0,2.686956411876184,31.986809322974704
GCN,100.0,2.726756159191409,31.876275628483114
