M_PNS,sigma,R_star_fm,W_over_T,log10_tau_s
0.581547,50.0,2.656311677950019,82.64394326321444,-38.09873526295693
0.621098275862069,50.0,2.6785397258349364,72.74961203628145,-42.39831007171142
0.660649551724138,50.0,2.7001385595790013,64.05038579539504,-46.181528990752895
0.7002008275862069,50.0,2.6057321787065,56.51759575503706,-49.442227636244446
0.7397521034482759,50.0,2.5016761218185004,50.484394338834655,-52.05329854747035
0.7793033793103449,50.0,2.408345048254638,45.50878095014426,-54.20969889593743
0.8188546551724138,50.0,2.3270444904467023,41.45328268490284,-55.97263137508044
0.8584059310344827,50.0,2.2548812685916846,38.074596237209484,-57.44703633557095
0.8979572068965518,50.0,2.1902824526905595,35.221725566742535,-58.698115099962
0.9375084827586206,50.0,2.133517334920812,32.82824478028635,-59.755259466778945
0.9770597586206897,50.0,2.084271099528707,30.826082303756426,-60.64829245628297
1.0166110344827586,50.0,2.0406312204256256,29.1121091318874,-61.42097202858574
1.0561623103448277,50.0,2.002069411101108,27.637908172250384,-62.09413802254492
1.0957135862068965,50.0,1.9685335949288305,26.3779159743123,-62.67896445806867
1.1352648620689654,50.0,1.9402969035405602,25.316466574576147,-63.182562406733574
1.1748161379310345,50.0,1.9159637189408005,24.401800531145362,-63.62644415266253
1.2143674137931035,50.0,1.8952319478653579,23.615308755083703,-64.01842770961882
1.2539186896551724,50.0,1.8777738558656405,22.94072484695063,-64.36526252587765
1.2934699655172412,50.0,1.8631125552504006,22.360968876923128,-64.67387179062423
1.3330212413793103,50.0,1.8513519604390782,21.87554314036024,-64.94436767214042
1.3725725172413794,50.0,1.8420357781241123,21.47193476972247,-65.18161637306903
1.4121237931034483,50.0,1.8342928631984852,21.131041255275356,-65.39268396535485
1.4516750689655171,50.0,1.8273478765364872,20.837429387744514,-65.58305897149566
1.4912263448275862,50.0,1.8202690499403742,20.57414458018393,-65.75852872737484
1.530777620689655,50.0,1.8113335972674893,20.307445470180784,-65.93128691534689
1.570328896551724,50.0,1.797670611179913,19.978110986363724,-66.12326165499518
1.609880172413793,50.0,1.7736740442530943,19.462324013766953,-66.38102261716064
1.649431448275862,50.0,1.7269554706822512,18.473412229835173,-66.81155223022083
1.688982724137931,50.0,1.6251197987657908,16.28891822863957,-67.67326020175325
1.728534,50.0,1.3337986201178118,10.639681935386168,-69.71333332189894
0.581547,250.0,10.056444446080814,4928.064804119323,inf
0.621098275862069,250.0,9.848449129359341,4496.2063797659,inf
0.660649551724138,250.0,9.651237214991182,4135.305691895693,inf
0.7002008275862069,250.0,9.46042214732965,3825.66396562027,inf
0.7397521034482759,250.0,9.279598902634616,3559.6613260319323,inf
0.7793033793103449,250.0,9.10216609127663,3324.5585580231427,inf
0.8188546551724138,250.0,8.934463187584294,3119.365162123296,inf
0.8584059310344827,250.0,8.772546461301854,2936.6931275443535,inf
0.8979572068965518,250.0,8.61484797861017,2772.06191698483,inf
0.9375084827586206,250.0,8.464074179970542,2624.411064301866,inf
0.9770597586206897,250.0,8.321097235775987,2492.009504766306,inf
1.0166110344827586,250.0,8.182628810563298,2370.7979676433247,inf
1.0561623103448277,250.0,8.048552323411721,2259.1818917508513,inf
1.0957135862068965,250.0,7.919550008971938,2156.4835379796236,inf
1.1352648620689654,250.0,7.797931825884089,2062.7937310746397,inf
1.1748161379310345,250.0,7.680268363485191,1975.4862805306634,inf
1.2143674137931035,250.0,7.566257223738461,1893.8596088705588,inf
1.2539186896551724,250.0,7.455434014574423,1817.2717277992965,inf
1.2934699655172412,250.0,7.346752907167858,1744.943210228535,inf
1.3330212413793103,250.0,7.240639505510446,1676.962434293501,inf
1.3725725172413794,250.0,7.135750341207279,1612.622643767968,inf
1.4121237931034483,250.0,7.029015156674966,1550.6370265452085,inf
1.4516750689655171,250.0,6.9176697756065035,1489.9757373802665,inf
1.4912263448275862,250.0,6.798189525209131,1429.4461785012488,inf
1.530777620689655,250.0,6.664716553340325,1366.9947405621267,inf
1.570328896551724,250.0,6.50822598408413,1299.417779519999,inf
1.609880172413793,250.0,6.313092174931957,1220.9126995109762,inf
1.649431448275862,250.0,6.048569306772323,1119.5093333713364,inf
1.688982724137931,250.0,5.638251202976033,966.3015396351899,inf
1.728534,250.0,4.721559591823079,656.2892502304281,208.43256620803197
