nBH_over_n0,Y_C_saddlepoint,Y_S_saddlepoint,Y_C_frozen,Y_S_frozen
1.0,0.023257395722645263,0.9082664515374026,0.2247304706396669,0.004254000612241692
1.1304347826086956,0.025592423548123237,0.9082317496321634,0.22456337752509495,0.004583756300893144
1.2608695652173914,0.027995758758430987,0.9081906268746989,0.22418776058182444,0.004968921666466812
1.391304347826087,0.03046746639238283,0.908147823725716,0.22364083256599218,0.00541945927880202
1.5217391304347827,0.03301068172059529,0.9080989582703989,0.22294570267873065,0.005943813437028559
1.6521739130434783,0.03563362073053156,0.9080335199492987,0.2221125986391263,0.006549624977961
1.7826086956521736,0.03834887906518096,0.9079381796949559,0.2211413261554023,0.0072457982818797985
1.9130434782608698,0.04116951612319325,0.9077974897577871,0.22003631100506094,0.008036473782488023
2.0434782608695654,0.04410325273415776,0.9076016609608495,0.21879933553797923,0.008928352432417986
2.1739130434782608,0.04715068348625613,0.9073466789896424,0.2174338452588665,0.009932067369830534
2.3043478260869565,0.05030328863946542,0.9070349748837859,0.21594736297549683,0.011061366864963826
2.4347826086956523,0.05354420864048598,0.9066738897162652,0.2143530679686161,0.01233131529071178
2.5652173913043477,0.05685048182740211,0.9062751604732399,0.21266399891247742,0.01376306800500586
2.6956521739130435,0.06019384393228748,0.9058537549033722,0.2108933854510175,0.01538645227035251
2.8260869565217392,0.06354469124389353,0.905423879120291,0.20905833814104136,0.017228958014520915
2.9565217391304346,0.06687225104377097,0.905000353514239,0.20717520854052748,0.019322219265127717
3.0869565217391304,0.0701462949436279,0.9045968853307083,0.20526005160369995,0.021702418139528345
3.217391304347826,0.07333601409674143,0.9042272187014824,0.20332943958411634,0.02441092213186088
3.3478260869565215,0.0764184669011728,0.9038992643420485,0.201400081568173,0.02747496267559274
3.4782608695652173,0.07937145389118205,0.9036208289756157,0.19948768316310242,0.030923824985053874
3.608695652173913,0.08217496334624512,0.9033982246727447,0.19760822583461565,0.034786601845160886
3.7391304347826084,0.08481516430076978,0.9032343935478092,0.195776605818718,0.0390759208642725
3.8695652173913038,0.08728377424592336,0.9031296476657272,0.19400593944127945,0.04379050044862114
4.0,0.08957416223079247,0.903084087501565,0.1923083755062866,0.048923090126431146
4.130434782608695,0.09167830196065925,0.9030989999478533,0.19069722473244133,0.05446670305649826
4.260869565217391,0.09359876003089519,0.903171369985267,0.18917952016467446,0.06038738626875239
4.391304347826087,0.09533609415838197,0.9033000375522492,0.1877623307313488,0.0666582815164207
4.521739130434783,0.09689056964561037,0.9034848443905537,0.18645124177195993,0.07325705152029809
4.6521739130434785,0.09826420311061483,0.9037256329596676,0.1852494883730938,0.08016560508342298
4.782608695652174,0.0994638719030067,0.9040207728316315,0.18415497565584887,0.08736785378553844
4.913043478260869,0.1004948032922619,0.9043698805862683,0.1831649152392858,0.09486326349606747
5.043478260869565,0.10136069062900732,0.9047735727590793,0.18227621707192843,0.10266769114414678
5.173913043478261,0.10207122302842772,0.9052298225635763,0.18148059158099952,0.11079578667970323
5.304347826086956,0.10263656859679991,0.9057360301599968,0.18076915944218686,0.11926905227945675
5.434782608695652,0.1030661254632351,0.9062898293152349,0.18013331689393838,0.12811350977830133
5.565217391304348,0.10336933090773906,0.9068883552217724,0.1795645904405694,0.13735893067178684
5.695652173913043,0.10356064578046414,0.9075258005015472,0.17905236354014462,0.1470126359542024
5.826086956521739,0.1036515578357773,0.9081975757564905,0.1785880058958229,0.15708153766810282
5.956521739130435,0.10365328107537396,0.908898679413146,0.1781642114071708,0.1675685883309988
6.08695652173913,0.10357694054440217,0.9096241449229933,0.17777358710054544,0.17845892242195063
6.217391304347826,0.1034342251571098,0.9103683032336414,0.17740973637412524,0.1897250908050769
6.347826086956521,0.10323416621670908,0.9111268883672153,0.177067623246721,0.20133650921531154
