R_fm,W_total,W_bulk,W_surface,W_coulomb
0.02,0.5007725638961574,-0.0018822643780779128,0.5026548245743669,3.699868444322012e-09
0.044008016032064126,2.4136827607205222,-0.02005330718263909,2.433735877069389,1.908337722009594e-07
0.06801603206412826,5.739398842349063,-0.07403285741731236,5.813430017159302,1.6826070728088123e-06
0.0920240480961924,10.458389079634717,-0.18335579184280992,10.641737244844103,7.626633424108952e-06
0.11603206412825652,16.55112487520269,-0.3675569838008235,16.91865756012379,2.42988797237134e-05
0.14004008016032063,23.998081865475246,-0.6461712985976702,24.64419096299836,6.22010745586984e-05
0.16404809619238478,32.77974101962809,-1.0387335858298785,33.818337453467834,0.00013715199013959262
0.1880561122244489,42.87658973468464,-1.564778667868009,44.44109703153218,0.00027137102047150694
0.21206412825651302,54.26912292595991,-2.2438413237245483,56.51246969719143,0.0004945524930308168
0.23607214428857715,66.93784411207075,-3.095456267543466,70.03245545044555,0.0008449291686583244
0.2600801603206413,80.86326649373692,-4.139158120962362,85.00105429129458,0.0013703234047000702
0.28408817635270545,96.02591402560438,-5.394481378613712,101.41826621973851,0.002129184479572307
0.3080961923847696,112.40632248033141,-6.8809603660487575,119.28409123577732,0.003191610602837784
0.3321042084168337,129.98504050418802,-8.61812918938644,138.598529339411,0.0046403541634896985
0.35611222444889784,148.74263066342883,-10.625521676011115,159.36158053063957,0.006571808800374067
0.38012024048096194,168.65967048071144,-12.922671305664048,181.573244809463,0.009096976912460461
0.4041282565130261,189.71675346084584,-15.52911113129843,205.23352217588138,0.012342416262909653
0.42813627254509024,211.89449010517086,-18.464373689093286,230.34241262989465,0.01645116436949136
0.45214428857715433,235.17350891386988,-21.74799089704766,256.89991617150275,0.021583639414780684
0.4761523046092185,259.53445737555325,-25.399493941605115,284.90603280070576,0.02791851645260043
0.5001603206412826,284.9580029434467,-29.438413151789245,314.36076251750364,0.03565357773227805
0.5241683366733467,311.42483399754605,-33.88427786035975,345.26410532189647,0.045006536009327795
0.5481763527054109,338.91566079211213,-38.75661625153213,377.6160612138842,0.05621582976004828
0.572184368737475,367.4112163878987,-44.07495519483617,411.41663019346674,0.06954138926809982
0.5961923847695392,396.8922575685248,-49.85882006472279,446.6658122606443,0.08526537260330279
0.6202004008016032,427.33956574042134,-56.12773454556167,483.3636074154165,0.10369287056652159
0.6442084168336674,458.7339478158002,-62.901220421712914,521.5100156577837,0.12515257972945354
0.6682164328657315,491.0562370781157,-70.19879735238442,561.1050369877458,0.1499974427542997
0.6922244488977957,524.2872940295096,-78.03998263102898,602.148671405303,0.17860525523550816
0.7162324649298598,558.4080072197468,-86.44429092907214,644.640918910455,0.2113792383639322
0.7402404809619239,593.3992940561785,-95.43123402379565,688.5817795032016,0.24874857677268844
0.764248496993988,629.2421015942792,-105.02032051024766,733.9712531835432,0.29116892098362684
0.7882565130260522,665.9174073083436,-115.23105549706966,780.80933995148,0.33912285393335106
0.8122645290581163,703.4062198419343,-126.08294028619534,829.0960398070114,0.3931203211183514
0.8362725450901805,741.6895797377084,-137.59547203638897,878.8313527501379,0.45369902395952
0.8602805611222445,780.7485601462556,-149.7881434106505,930.0152787808589,0.5214247760471917
0.8842885771543086,820.5642675136291,-162.6804422075345,982.6478178991749,0.5968918219887351
0.9082965931863728,861.1178422472465,-176.29185097648104,1036.728970105086,0.6807231186414733
0.9323046092184369,902.3904593598761,-190.64184661729007,1092.258735398592,0.7735705785741439
0.9563126252505011,944.3633290914639,-205.74989996388885,1149.237113779693,0.8761152756599091
0.9803206412825651,987.0176975085477,-221.6354753526043,1207.6641052483883,0.9890676127637902
1.0043286573146293,1030.3348470810454,-238.3180301751798,1267.539709804679,1.1131674515461796
1.0283366733466934,1074.2960972362137,-255.81701441681287,1328.8639274485645,1.2491842044621377
1.0523446893787576,1118.8828048896296,-274.15187017950893,1391.6367581800448,1.3979168890936127
1.0763527054108217,1164.076364953024,-293.3420311911041,1455.8582019991202,1.5601941450078143
1.1003607214428859,1209.8582108188973,-313.4069223002829,1521.5282589057904,1.7368742133895771
1.12436873747495,1256.209814821769,-334.36595895803725,1588.6469289000554,1.92884487975075
1.1483767535070142,1303.112688676001,-356.238546685986,1657.2142119819152,2.137023380071599
1.1723847695390783,1350.5483838901353,-379.04408053201604,1727.2301081513704,2.3623562707810066
1.1963927855711423,1398.4984921577025,-402.8019445137487,1798.6946174084192,2.6058192630321315
1.2204008016032064,1446.9446457245604,-427.53151105028024,1871.607739753064,2.8684170217766987
1.2444088176352706,1495.8685177327125,-453.25214038278136,1945.9694751853033,3.151182930190454
1.2684168336673347,1545.2518225406716,-479.9831799845128,2021.779823705138,3.4551788200465983
1.2924248496993989,1595.076316020363,-507.7439639608817,2099.038785312567,3.7814946686776474
1.316432865731463,1645.3237958306947,-536.5538124401032,2177.746360007591,4.131248263206794
1.3404408817635272,1695.9761016679747,-566.4320309550028,2257.9025477902105,4.505584832767074
1.3644488977955913,1747.0151154931586,-597.3979098167362,2339.507348660424,4.9056766494703945
1.3884569138276555,1798.4227617361023,-629.4707234810517,2422.560762618233,5.332722598920843
1.4124649298597196,1850.1810074769126,-662.6697299078271,2507.062789663637,5.787947721102678
1.4364729458917835,1902.2718626047815,-697.0141699143508,2593.013429796635,6.272602722497146
1.4604809619238477,1954.6773799543553,-732.5232665231943,2680.412683017228,6.787963460321515
1.4844889779559118,2007.3796554198068,-769.2162243054204,2769.260549325417,7.335330399810395
1.508496993987976,2060.360828046788,-807.1122287198979,2859.5570287212004,7.916028045485143
1.5325050100200401,2113.6030801027136,-846.2304454492352,2951.3021212045783,8.531404347370202
