alpha_s,B4_MeV,Delta0_MeV,sigma_crit_star,M_max_Msun,reject_reason_code
0.15707963267948966,130.0,0.0,,2.352843482599883,6
0.15707963267948966,131.0,0.0,,2.31897129772075,6
0.15707963267948966,132.0,0.0,,2.28579814305969,6
0.15707963267948966,133.0,0.0,,2.2532370837409976,6
0.15707963267948966,134.0,0.0,,2.221376123730215,6
0.15707963267948966,135.0,0.0,,2.190320655361453,6
0.15707963267948966,136.0,0.0,,2.159800421676829,6
0.15707963267948966,137.0,0.0,,2.1298799660705123,6
0.15707963267948966,138.0,0.0,,2.10055797223938,6
0.15707963267948966,139.0,0.0,,2.07190885674895,6
0.15707963267948966,140.0,0.0,,2.04381927845441,6
0.15707963267948966,141.0,0.0,105.64082057874951,2.0162212224613794,5
0.15707963267948966,142.0,0.0,,1.9892057643009675,4
0.15707963267948966,143.0,0.0,,1.962759633601218,4
0.15707963267948966,144.0,0.0,,1.9368174988700644,4
0.15707963267948966,145.0,0.0,,1.91127893130121,4
0.15707963267948966,146.0,0.0,,1.8863866810377674,4
0.15707963267948966,147.0,0.0,,1.8619126651948317,4
0.15707963267948966,148.0,0.0,,1.8378518088128044,4
0.15707963267948966,149.0,0.0,,1.814333774955321,4
0.15707963267948966,150.0,0.0,,1.7912405026363425,4
0.15707963267948966,151.0,0.0,,1.768525227519222,4
0.15707963267948966,152.0,0.0,,1.7462787418936967,4
0.15707963267948966,153.0,0.0,,1.724481797409658,4
0.15707963267948966,154.0,0.0,,1.7029907533678115,4
0.15707963267948966,155.0,0.0,,,1
0.15707963267948966,156.0,0.0,,,1
0.15707963267948966,157.0,0.0,,,1
0.15707963267948966,158.0,0.0,,,1
0.15707963267948966,159.0,0.0,,,1
0.15707963267948966,160.0,0.0,,,1
0.15707963267948966,161.0,0.0,,,1
0.15707963267948966,162.0,0.0,,,1
0.15707963267948966,163.0,0.0,,,1
0.15707963267948966,164.0,0.0,,,1
0.15707963267948966,165.0,0.0,,,1
0.15707963267948966,166.0,0.0,,,1
0.15707963267948966,167.0,0.0,,,1
0.15707963267948966,168.0,0.0,,,1
0.15707963267948966,169.0,0.0,,,1
0.15707963267948966,170.0,0.0,,,1
0.15707963267948966,171.0,0.0,,,1
0.15707963267948966,172.0,0.0,,,1
0.15707963267948966,173.0,0.0,,,1
0.15707963267948966,174.0,0.0,,,1
0.15707963267948966,175.0,0.0,,,1
0.15707963267948966,176.0,0.0,,,1
0.15707963267948966,177.0,0.0,,,1
0.15707963267948966,178.0,0.0,,,1
0.15707963267948966,179.0,0.0,,,1
0.15707963267948966,180.0,0.0,,,1
0.15707963267948966,130.0,4.0,,2.3539271750971906,6
0.15707963267948966,131.0,4.0,,2.3199846722132778,6
0.15707963267948966,132.0,4.0,,2.2867867142756797,6
0.15707963267948966,133.0,4.0,,2.2542320787426062,6
0.15707963267948966,134.0,4.0,,2.2223542753467673,6
0.15707963267948966,135.0,4.0,,2.1912293849928397,6
0.15707963267948966,136.0,4.0,,2.1607193345632036,6
0.15707963267948966,137.0,4.0,,2.130719584690702,6
0.15707963267948966,138.0,4.0,,2.1013833530335586,6
0.15707963267948966,139.0,4.0,,2.0727353463185216,6
0.15707963267948966,140.0,4.0,,2.044600102920521,6
0.15707963267948966,141.0,4.0,105.64082057874951,2.0169980871790596,5
0.15707963267948966,142.0,4.0,,1.989964181207193,4
0.15707963267948966,143.0,4.0,,1.9634942763139236,4
0.15707963267948966,144.0,4.0,,1.937532992393016,4
0.15707963267948966,145.0,4.0,,1.9119840135121384,4
0.15707963267948966,146.0,4.0,,1.8870743823167118,4
0.15707963267948966,147.0,4.0,,1.8625697469183944,4
0.15707963267948966,148.0,4.0,,1.8384609935579723,4
0.15707963267948966,149.0,4.0,,1.8149458148952655,4
0.15707963267948966,150.0,4.0,,1.7918565969591376,4
0.15707963267948966,151.0,4.0,,1.7691150403636053,4
0.15707963267948966,152.0,4.0,,1.7468562503811682,4
0.15707963267948966,153.0,4.0,,1.7250211609943464,4
0.15707963267948966,154.0,4.0,,1.703525879551186,4
0.15707963267948966,155.0,4.0,,,1
0.15707963267948966,156.0,4.0,,,1
0.15707963267948966,157.0,4.0,,,1
0.15707963267948966,158.0,4.0,,,1
