alpha_s,B4_MeV,Delta0_MeV,sigma_crit_star,M_max_Msun,reject_reason_code
0.0,158.0,8.0,,1.6270925527473503,4
0.0,159.0,8.0,,,1
0.0,160.0,8.0,,,1
0.0,161.0,8.0,,,1
0.0,162.0,8.0,,,1
0.0,163.0,8.0,,,1
0.0,164.0,8.0,,,1
0.0,165.0,8.0,,,1
0.0,166.0,8.0,,,1
0.0,167.0,8.0,,,1
0.0,168.0,8.0,,,1
0.0,169.0,8.0,,,1
0.0,170.0,8.0,,,1
0.0,171.0,8.0,,,1
0.0,172.0,8.0,,,1
0.0,173.0,8.0,,,1
0.0,174.0,8.0,,,1
0.0,175.0,8.0,,,1
0.0,176.0,8.0,,,1
0.0,177.0,8.0,,,1
0.0,178.0,8.0,,,1
0.0,179.0,8.0,,,1
0.0,180.0,8.0,,,1
0.0,130.0,12.0,,2.3712725252937674,6
0.0,131.0,12.0,,2.3367633048746854,6
0.0,132.0,12.0,,2.303054831571816,6
0.0,133.0,12.0,,2.270082900772711,6
0.0,134.0,12.0,,2.237693835879164,6
0.0,135.0,12.0,,2.206087399729626,6
0.0,136.0,12.0,,2.1750843180023693,6
0.0,137.0,12.0,,2.1447370937961807,6
0.0,138.0,12.0,,2.11504170046432,6
0.0,139.0,12.0,,2.085904824283596,6
0.0,140.0,12.0,,2.057412542630886,6
0.0,141.0,12.0,,2.029467721698358,6
0.0,142.0,12.0,,2.002084884454795,6
0.0,143.0,12.0,,1.9752636533492711,4
0.0,144.0,12.0,,1.9489429825803615,4
0.0,145.0,12.0,,1.923165526479337,4
0.0,146.0,12.0,,1.8978582089268827,4
0.0,147.0,12.0,,1.873056686653053,4
0.0,148.0,12.0,,1.8487447805945352,4
0.0,149.0,12.0,,1.8248688329907508,4
0.0,150.0,12.0,,1.8015091171313105,4
0.0,151.0,12.0,,1.778568256107535,4
0.0,152.0,12.0,,1.7560699537366693,4
0.0,153.0,12.0,,1.7339697531838338,4
0.0,154.0,12.0,,1.7122974551949308,4
0.0,155.0,12.0,,1.6909933474876448,4
0.0,156.0,12.0,,1.6701049423360081,4
0.0,157.0,12.0,,1.6495695359191322,4
0.0,158.0,12.0,,1.629403855033925,4
0.0,159.0,12.0,,1.6096604289775227,4
0.0,160.0,12.0,,,1
0.0,161.0,12.0,,,1
0.0,162.0,12.0,,,1
0.0,163.0,12.0,,,1
0.0,164.0,12.0,,,1
0.0,165.0,12.0,,,1
0.0,166.0,12.0,,,1
0.0,167.0,12.0,,,1
0.0,168.0,12.0,,,1
0.0,169.0,12.0,,,1
0.0,170.0,12.0,,,1
0.0,171.0,12.0,,,1
0.0,172.0,12.0,,,1
0.0,173.0,12.0,,,1
0.0,174.0,12.0,,,1
0.0,175.0,12.0,,,1
0.0,176.0,12.0,,,1
0.0,177.0,12.0,,,1
0.0,178.0,12.0,,,1
0.0,179.0,12.0,,,1
0.0,180.0,12.0,,,1
0.0,130.0,16.0,,2.3783088801850614,6
0.0,131.0,16.0,,2.3436341582894387,6
0.0,132.0,16.0,,2.3097119802556305,6
0.0,133.0,16.0,,2.2765077533184863,6
0.0,134.0,16.0,,2.243984065225971,6
0.0,135.0,16.0,,2.212159069050953,6
0.0,136.0,16.0,,2.1810140562362634,6
0.0,137.0,16.0,,2.1505016330729325,6
0.0,138.0,16.0,,2.1205954114460615,6
0.0,139.0,16.0,,2.091340272393754,6
0.0,140.0,16.0,,2.062660436522666,6
0.0,141.0,16.0,,2.0346044587322734,6
0.0,142.0,16.0,,2.0070456305139586,6
0.0,143.0,16.0,,1.9800849211988396,4
0.0,144.0,16.0,,1.9536383317744541,4
0.0,145.0,16.0,,1.9277235668004422,4
0.0,146.0,16.0,,1.9023067016375335,4
0.0,147.0,16.0,,1.877411262444783,4
0.0,148.0,16.0,,1.8529845627395938,4
0.0,149.0,16.0,,1.8290082364333191,4
0.0,150.0,16.0,,1.8055247801500707,4
0.0,151.0,16.0,,1.7824851060382494,4
0.0,152.0,16.0,,1.7598661748682722,4
0.0,153.0,16.0,,1.7376866318579578,4
0.0,154.0,16.0,,1.7158919631476446,4
0.0,155.0,16.0,,1.694504198900487,4
0.0,156.0,16.0,,1.6734967726263679,4
0.0,157.0,16.0,,1.6528879922607582,4
0.0,158.0,16.0,,1.6326816750663136,4
0.0,159.0,16.0,,1.612841630419182,4
0.0,160.0,16.0,,,1
0.0,161.0,16.0,,,1
0.0,162.0,16.0,,,1
0.0,163.0,16.0,,,1
0.0,164.0,16.0,,,1
0.0,165.0,16.0,,,1
0.0,166.0,16.0,,,1
0.0,167.0,16.0,,,1
0.0,168.0,16.0,,,1
0.0,169.0,16.0,,,1
0.0,170.0,16.0,,,1
0.0,171.0,16.0,,,1
0.0,172.0,16.0,,,1
0.0,173.0,16.0,,,1
0.0,174.0,16.0,,,1
0.0,175.0,16.0,,,1
0.0,176.0,16.0,,,1
0.0,177.0,16.0,,,1
0.0,178.0,16.0,,,1
0.0,179.0,16.0,,,1
0.0,180.0,16.0,,,1
0.0,130.0,20.0,,2.387447469867975,6
0.0,131.0,20.0,,2.3524675110604147,6
0.0,132.0,20.0,,2.318245284229128,6
0.0,133.0,20.0,,2.284754064233646,6
0.0,134.0,20.0,,2.2520255349140803,6
0.0,135.0,20.0,,2.219983556401498,6
0.0,136.0,20.0,,2.188631188857288,6
0.0,137.0,20.0,,2.1578727740455363,6
0.0,138.0,20.0,,2.127791205476094,6
0.0,139.0,20.0,,2.0983435123695173,6
0.0,140.0,20.0,,2.069457198048437,6
0.0,141.0,20.0,,2.0411425068517857,6
0.0,142.0,20.0,,2.0134487290577088,6
0.0,143.0,20.0,,1.9862795410285876,4
0.0,144.0,20.0,,1.9596882606319754,4
0.0,145.0,20.0,,1.933597520044614,4
0.0,146.0,20.0,,1.9080383034751127,4
0.0,147.0,20.0,,1.8830026107142364,4
0.0,148.0,20.0,,1.8584404889587296,4
0.0,149.0,20.0,,1.8343298740089302,4
0.0,150.0,20.0,,1.8107160452478792,4
0.0,151.0,20.0,,1.787501775855936,4
0.0,152.0,20.0,,1.7647786064765918,4
0.0,153.0,20.0,,1.7424517315614545,4
0.0,154.0,20.0,,1.7205214038644165,4
0.0,155.0,20.0,,1.6990073528241028,4
0.0,156.0,20.0,,1.6779122731098213,4
0.0,157.0,20.0,,1.657222449507337,4
0.0,158.0,20.0,,1.63688605358912,4
0.0,159.0,20.0,,1.6169351776512388,4
0.0,160.0,20.0,,,1
0.0,161.0,20.0,,,1
0.0,162.0,20.0,,,1
0.0,163.0,20.0,,,1
0.0,164.0,20.0,,,1
0.0,165.0,20.0,,,1
0.0,166.0,20.0,,,1
0.0,167.0,20.0,,,1
