sigma,phase,M_PNS_Msun,R_star_fm,W_over_T,log10_tau_s
80.0,unpaired,0.6066949,23.840457965260352,7466.480002818965,100.00000000000001
80.0,unpaired,0.6217995,22.188628550070984,6299.293189809148,100.0
80.0,unpaired,0.6375097,20.66573151763435,5312.27834535645,100.0
80.0,unpaired,0.6537863,19.264797220829053,4481.776305664919,100.00000000000001
80.0,unpaired,0.6706168,17.978036580028036,3785.440265470496,100.0
80.0,unpaired,0.6879966,16.80351283956087,3208.0286959055215,99.99999999999999
80.0,unpaired,0.7058676,15.76537612673809,2755.2865903160478,100.0
80.0,unpaired,0.7242177,14.812427479579227,2374.899920314775,100.0
80.0,unpaired,0.7430126,13.934138426614538,2053.151188594895,100.0
80.0,unpaired,0.7622018,13.124831604096647,1780.9337490789549,100.00000000000001
80.0,unpaired,0.7817645,12.38023380460535,1550.9633182914172,100.0
80.0,unpaired,0.8016508,11.712876306469292,1364.7458250696275,99.99999999999999
80.0,unpaired,0.8218293,11.10296492897556,1208.2214190454608,100.0
80.0,unpaired,0.8422629,10.54161232339968,1074.5622533122662,100.0
80.0,unpaired,0.8629149,10.028365578701157,961.1875897801623,100.0
80.0,unpaired,0.8837535,9.557670876857756,864.2358224360914,100.0
80.0,unpaired,0.9047515,9.1264311370616,781.1663810464977,100.0
80.0,unpaired,0.9258713,8.735533717935422,710.8712974325733,99.99999999999999
80.0,unpaired,0.9470957,8.380957449477503,651.0384724315189,100.0
80.0,unpaired,0.9683892,8.055867491425497,599.0162545345015,100.00000000000001
80.0,unpaired,0.9897522,7.760466045100267,554.1391455745036,100.0
80.0,unpaired,1.011149,7.48899237067816,514.7196803252924,100.0
80.0,unpaired,1.032558,7.239165918869227,479.9509738470995,100.0
80.0,unpaired,1.05397,7.012687561387304,449.73446055031496,100.0
80.0,unpaired,1.075371,6.803963256735503,422.8751159521808,100.0
80.0,unpaired,1.09675,6.613324257181793,399.2097969244048,97.98309700059845
80.0,unpaired,1.118085,6.438848070634419,378.265545885514,89.186766171525
80.0,unpaired,1.139378,6.277552851231393,359.4421311707867,81.07450134993266
80.0,unpaired,1.160606,6.128642782833586,342.53114284893553,73.75360870978973
80.0,unpaired,1.181755,5.990566537641659,327.24086892637683,67.10523218917595
80.0,unpaired,1.202825,5.861837883346613,313.31982988224524,61.02648779107304
80.0,unpaired,1.22379,5.7425739664065,300.7201600455818,55.50139076267905
80.0,unpaired,1.244655,5.630637648867095,289.1471130637999,50.40577415745818
80.0,unpaired,1.265384,5.5254836747034535,278.5020088809342,45.69990100995614
80.0,unpaired,1.285967,5.426670957158781,268.70925905397047,41.35419355079796
80.0,unpaired,1.306385,5.333186389108527,259.63909638808104,37.351878888004535
80.0,unpaired,1.32662,5.244493693371351,251.22570970619088,33.74129454311051
80.0,unpaired,1.346641,5.159760556663747,243.35285300175454,30.349509295589367
80.0,unpaired,1.366428,5.078336242455891,235.9454553672418,27.146715857543164
80.0,unpaired,1.385951,4.999643185760564,228.93855212725347,24.10729593167645
80.0,unpaired,1.405176,4.92318686982604,222.27716264345457,21.209667022215175
80.0,unpaired,1.424072,4.848463696893562,215.9080981555434,18.43303830842803
80.0,unpaired,1.44261,4.77501036392319,209.7835102169546,15.758639439591773
80.0,unpaired,1.460747,4.702262869183648,203.84884898142582,13.16456904709658
80.0,unpaired,1.478449,4.629896423400826,198.07055016130485,10.637955284306058
80.0,unpaired,1.495677,4.5574430638454695,192.40811253015553,8.162648010185698
80.0,unpaired,1.512403,4.484510731411658,186.82069418075312,5.721953998929976
80.0,unpaired,1.52858,4.410744645731775,181.27370540538737,3.3014709701005005
80.0,unpaired,1.544188,4.335746861375002,175.7345223878916,0.8877839421711455
80.0,unpaired,1.55919,4.259268867593692,170.17516688212842,-1.5312511535118196
80.0,unpaired,1.573565,4.180952973333205,164.56495119369197,-3.968828222466085
80.0,unpaired,1.587292,4.100586862593368,158.88224045313214,-6.43460785109659
80.0,unpaired,1.600355,4.01800338685123,153.11238402824645,-8.935107890243087
80.0,unpaired,1.612749,3.933003173520791,147.23600287919507,-11.479101576189517
80.0,unpaired,1.624466,3.845349555675987,141.23747864742032,-14.073427274334826
80.0,unpaired,1.635519,3.7551340432798135,135.1252339621444,-16.714642172614784
80.0,unpaired,1.645909,3.6621158776612432,128.88728515062712,-19.40786380364046
80.0,unpaired,1.655654,3.5664476209505507,122.54388087325916,-22.14429572929092
80.0,unpaired,1.664768,3.4680417066047395,116.10339518087049,-24.920071853818968
80.0,unpaired,1.67327,3.3670340549293685,109.59345760438025,-27.723116691874775
80.0,unpaired,1.681184,3.2635836018947404,103.04670027280076,-30.539121571042593
80.0,unpaired,1.688523,3.157948531902184,96.50406301260496,-33.350316488816425
80.0,unpaired,1.69531,3.0503190932437176,90.00310750035536,-36.14032450276588
80.0,unpaired,1.701556,2.9410200437133383,83.58834428102953,-38.88984118132509
80.0,unpaired,1.707274,2.830494270349565,77.31193438169254,-41.576221076513484
80.0,unpaired,1.71248,2.719065534731252,71.20795032051998,-44.183411078322244
80.0,unpaired,1.71718,2.6070569581018903,65.3131169833478,-46.67460480709085
80.0,unpaired,1.721386,2.4950543567769747,59.66567758484297,-48.898733314259346
80.0,unpaired,1.725109,2.3834249437050747,54.2857147627184,-50.0
80.0,unpaired,1.728358,2.272625242478697,49.19643079115071,-50.0
80.0,unpaired,1.731145,2.1630775744332764,44.41403028893748,-49.99999999999999
80.0,unpaired,1.733479,2.055109425877265,39.942576204624814,-50.0
80.0,unpaired,1.735373,1.9490985541949382,35.78737263918717,-50.0
80.0,unpaired,1.736837,1.8453629487729402,31.947694742689134,-50.0
80.0,unpaired,1.737882,1.7442234896289168,28.419855213216245,-49.99999999999999
80.0,unpaired,1.738524,1.6459289166622808,25.19519891990691,-50.0
80.0,unpaired,1.738771,1.5507150963026461,22.262890514002162,-50.0
80.0,cfl,0.6066949,1.5523665834628602,36.5958772530388,-50.00000000000001
80.0,cfl,0.6217995,1.542494831013821,35.49208505432677,-50.0
80.0,cfl,0.6375097,1.5322854732255815,34.41291467709352,-50.0
80.0,cfl,0.6537863,1.521745518620446,33.35967802262755,-50.00000000000001
80.0,cfl,0.6706168,1.5108847740306304,32.3336445840958,-50.0
80.0,cfl,0.6879966,1.4997362938390943,31.3368062085728,-49.99999999999999
80.0,cfl,0.7058676,1.4884490846431757,30.375501989834806,-50.0
80.0,cfl,0.7242177,1.4768933276774232,29.445699971623675,-50.0
80.0,cfl,0.7430126,1.4650869273380787,28.545878141403747,-50.0
80.0,cfl,0.7622018,1.4530518542827529,27.675802092360865,-50.00000000000001
80.0,cfl,0.7817645,1.4408121835799008,26.835530143880852,-50.0
80.0,cfl,0.8016508,1.4285314985837663,26.029905999675325,-49.99999999999999
80.0,cfl,0.8218293,1.4161320521461926,25.25447276461829,-50.0
80.0,cfl,0.8422629,1.4035951766197843,24.50702685378316,-50.0
