flavor_mode,phase,nBH_over_n0,T_nuc_MeV
saddlepoint,unpaired,0.1,96.75091136356396
saddlepoint,unpaired,0.13979930511686672,91.45007000733925
saddlepoint,unpaired,0.17959867340492736,86.94639123612055
saddlepoint,unpaired,0.21939797852179407,83.06136344615653
saddlepoint,unpaired,0.25919734680985473,79.6773121946441
saddlepoint,unpaired,0.2989966519267214,76.7102948690754
saddlepoint,unpaired,0.33879595704358817,74.09614914049327
saddlepoint,unpaired,0.3785953253316488,71.78345174853213
saddlepoint,unpaired,0.4183946304485155,69.7296008207418
saddlepoint,unpaired,0.4581939987365761,67.89863689567682
saddlepoint,unpaired,0.49799330385344287,66.25983408244059
saddlepoint,unpaired,0.5377926721415035,64.78693685177853
saddlepoint,unpaired,0.5775919772583702,63.457467316453844
saddlepoint,unpaired,0.6173912823752369,62.25213609366958
saddlepoint,unpaired,0.6571907770056854,61.15448885240019
saddlepoint,unpaired,0.6969898926089704,60.15041710769564
saddlepoint,unpaired,0.7367890082122552,59.227793737980306
saddlepoint,unpaired,0.7765887555274795,58.37634473027264
saddlepoint,unpaired,0.8163878711307644,57.5871086435929
saddlepoint,unpaired,0.8561869867340492,56.852433213082726
saddlepoint,unpaired,0.8959867340492736,56.16575338204014
saddlepoint,unpaired,0.9357858496525585,55.52131584888177
saddlepoint,unpaired,0.9755855969677827,54.914191190065274
saddlepoint,unpaired,1.0153847125710675,54.34009464326157
saddlepoint,unpaired,1.0551838281743526,53.795268545199434
saddlepoint,unpaired,1.0949835754895767,53.27648642191717
saddlepoint,unpaired,1.1347826910928616,52.78100209762597
saddlepoint,unpaired,1.1745818066961466,52.30633095217643
saddlepoint,unpaired,1.214381554011371,51.85031958814101
saddlepoint,unpaired,1.2541806696146558,51.41115848239795
saddlepoint,unpaired,1.2939797852179407,50.98727501221324
saddlepoint,unpaired,1.333779532533165,50.57725915528248
saddlepoint,unpaired,1.3735786481364498,50.17992048365625
saddlepoint,unpaired,1.413377763739735,49.794237625470444
saddlepoint,unpaired,1.453177511054959,49.419248760649026
saddlepoint,unpaired,1.4929766266582438,49.05426620392349
saddlepoint,unpaired,1.532775742261529,48.69857945448884
saddlepoint,unpaired,1.5725754895767532,48.35163495045982
saddlepoint,unpaired,1.6123746051800378,48.012853781980134
saddlepoint,unpaired,1.652173720783323,47.681904143352995
saddlepoint,unpaired,1.6919734680985472,47.35832411524112
saddlepoint,unpaired,1.7317725837018318,47.04184881292922
saddlepoint,unpaired,1.771571699305117,46.73220768731457
saddlepoint,unpaired,1.8113714466203412,46.42908461467065
saddlepoint,unpaired,1.8511705622236259,46.13231586669583
saddlepoint,unpaired,1.890969677826911,45.84164818736826
saddlepoint,unpaired,1.9307694251421352,45.556970354612766
saddlepoint,unpaired,1.9705685407454203,45.27804911781629
saddlepoint,unpaired,2.010367656348705,45.00484003741813
saddlepoint,unpaired,2.050167403663929,44.73710862070682
saddlepoint,unpaired,2.089966519267214,44.47480901516779
saddlepoint,unpaired,2.129765634870499,44.21771611022846
saddlepoint,unpaired,2.169565382185723,43.965802433718245
saddlepoint,unpaired,2.209364497789008,43.71887116013378
saddlepoint,unpaired,2.249163613392293,43.476832691017634
saddlepoint,unpaired,2.2889633607075175,43.23964129383666
saddlepoint,unpaired,2.328762476310802,43.00698859507593
saddlepoint,unpaired,2.368561591914087,42.77886189856248
saddlepoint,unpaired,2.4083613392293115,42.555619429289706
saddlepoint,unpaired,2.448160454832596,42.336010184104175
saddlepoint,unpaired,2.4879595704358817,42.12098241732929
saddlepoint,unpaired,2.5277593177511055,41.91011833579068
saddlepoint,unpaired,2.56755843335439,41.702814000850005
saddlepoint,unpaired,2.6073575489576757,41.499443831721806
saddlepoint,unpaired,2.6471572962728995,41.29945678762738
saddlepoint,unpaired,2.686956411876184,41.10297657897407
saddlepoint,unpaired,2.726756159191409,40.909861492681216
saddlepoint,unpaired,2.7665552747946935,40.72020283373142
saddlepoint,unpaired,2.8063543903979786,40.53307162171428
saddlepoint,unpaired,2.846154137713203,40.349344331416404
saddlepoint,unpaired,2.8859532533164876,40.16762127787146
saddlepoint,unpaired,2.9257523689197726,39.98904685531515
saddlepoint,unpaired,2.965552116234997,39.81245236134307
saddlepoint,unpaired,3.0053512318382816,39.63808596615575
saddlepoint,unpaired,3.0451503474415667,39.46562023635635
saddlepoint,unpaired,3.084950094756791,39.295248857413185
saddlepoint,unpaired,3.124749210360076,39.12663240835093
saddlepoint,unpaired,3.1645483259633607,38.95943065041833
saddlepoint,unpaired,3.204348073278585,38.7933336879064
saddlepoint,unpaired,3.2441471888818696,38.62835556554166
saddlepoint,unpaired,3.283946304485155,38.46474553417851
saddlepoint,unpaired,3.323746051800379,38.301711234317445
saddlepoint,unpaired,3.3635451674036636,38.13920436554434
saddlepoint,unpaired,3.403344283006949,37.97728260770689
saddlepoint,unpaired,3.443144030322173,37.815441999858464
saddlepoint,unpaired,3.4829431459254576,37.653718773335186
saddlepoint,unpaired,3.522742261528743,37.49193651423608
saddlepoint,unpaired,3.562542008843967,37.33017392321224
saddlepoint,unpaired,3.6023411244472525,37.16784357683553
saddlepoint,unpaired,3.642140240050537,37.005185679262695
saddlepoint,unpaired,3.681939987365761,36.84147890388908
saddlepoint,unpaired,3.7217391029690465,36.67676286949859
saddlepoint,unpaired,3.761538218572331,36.511316505032504
saddlepoint,unpaired,3.801337965887555,36.34477673259495
saddlepoint,unpaired,3.8411370814908405,36.17643681565906
saddlepoint,unpaired,3.880936197094125,36.00689616432885
saddlepoint,unpaired,3.92073594440935,35.83558944814573
saddlepoint,unpaired,3.9605350600126346,35.662830272876164
saddlepoint,unpaired,4.00033417561592,35.4876890788252
saddlepoint,unpaired,4.040133922931144,35.310569075009354
saddlepoint,unpaired,4.079933038534429,35.131610891073755
saddlepoint,unpaired,4.119732154137713,34.95056638301016
saddlepoint,unpaired,4.1595319014529375,34.766548872962275
saddlepoint,unpaired,4.199331017056222,34.580702490645436
saddlepoint,unpaired,4.239130132659508,34.39186796910662
saddlepoint,unpaired,4.278929879974732,34.20017263914171
saddlepoint,unpaired,4.318728995578017,34.00587825546505
saddlepoint,unpaired,4.358528742893241,33.80906977563259
saddlepoint,unpaired,4.3983278584965255,33.609071400812866
saddlepoint,unpaired,4.43812697409981,33.40602324230464
saddlepoint,unpaired,4.477926721415035,33.20027633053621
saddlepoint,unpaired,4.51772583701832,32.991399407180324
saddlepoint,unpaired,4.557524952621605,32.779101186224565
saddlepoint,unpaired,4.597324699936829,32.56325230989275
saddlepoint,unpaired,4.6371238155401135,32.34519711568143
saddlepoint,unpaired,4.676922931143398,32.123317430565024
saddlepoint,unpaired,4.716722678458623,31.897987694795514
saddlepoint,unpaired,4.756521794061908,31.669360283833907
saddlepoint,unpaired,4.796320909665193,31.437804354073982
saddlepoint,unpaired,4.836120656980417,31.2026981042023
saddlepoint,unpaired,4.875919772583702,30.964226878477458
saddlepoint,unpaired,4.915718888186986,30.722507730375636
saddlepoint,unpaired,4.955518635502211,30.47719659151911
saddlepoint,unpaired,4.995317751105496,30.229099175202055
saddlepoint,unpaired,5.035116866708781,29.977255553602067
saddlepoint,unpaired,5.074916614024005,29.722058339400817
saddlepoint,unpaired,5.11471572962729,29.46346608610893
saddlepoint,unpaired,5.154514845230575,29.201753048006157
saddlepoint,unpaired,5.194314592545799,28.936815141146663
saddlepoint,unpaired,5.234113708149084,28.66883993646534
saddlepoint,unpaired,5.273912823752369,28.397318893194786
saddlepoint,unpaired,5.313712571067593,28.12251998726785
saddlepoint,unpaired,5.353511686670878,27.845043930820736
saddlepoint,unpaired,5.393310802274163,27.563961056062965
saddlepoint,unpaired,5.433110549589387,27.280095377686894
saddlepoint,unpaired,5.472909665192672,26.992845125149763
saddlepoint,unpaired,5.512708780795958,26.70278675158287
saddlepoint,unpaired,5.552508528111181,26.409493995973826
saddlepoint,unpaired,5.592307643714466,26.113071663998472
saddlepoint,unpaired,5.632106759317751,25.81358048529894
saddlepoint,unpaired,5.6719065066329755,25.511475200384506
saddlepoint,unpaired,5.711705622236261,25.206635422529782
saddlepoint,unpaired,5.751504737839546,24.898463678525
saddlepoint,unpaired,5.791304485154769,24.587711678355575
saddlepoint,unpaired,5.831103600758055,24.273453423503113
saddlepoint,unpaired,5.870902716361339,23.957034230079802
saddlepoint,unpaired,5.9107024636765635,23.63786934207662
saddlepoint,unpaired,5.950501579279849,23.31583421219794
saddlepoint,unpaired,5.990300694883134,22.991338820446796
