M_max_Msun,R_1.4_km,sigma_crit_star
2.001732131727568,10.804123550048779,62.98179752290907
2.0211605044657226,10.959942450978378,67.79436571342369
2.021838206992342,10.827831616685435,67.8064626045262
2.0716135849500197,11.14431118407058,70.22073332410103
2.1476496476002516,11.359233293174759,74.17371214858461
2.018212246599112,11.044866280168726,74.786369607189
2.157242528629993,11.455598372291368,74.79535828024535
2.2850181813803516,11.91425206882916,81.40121748827706
2.1386743378461266,11.221606623821273,81.44968400534206
2.206209440430333,11.509625957489396,81.72656578865876
2.188027303550709,11.23824518301122,82.09260846837097
2.2552830904133496,11.51725713870385,82.17842948716715
2.1561964585837683,11.07661750857934,82.38535846523962
2.104935359812902,11.064638076467382,83.46270135350699
2.3127682271709946,11.9407009920185,84.30024902563017
2.2215628351078065,11.819695203123207,84.8101998824067
2.244481911819185,11.890344621076965,84.8101998824067
2.065344626028409,10.626369635386137,85.32673203411086
2.232602565453217,11.89076656823935,86.61269470728882
2.3038686464948004,12.084704425345912,86.61269470728882
2.1917604871773104,11.162566248650801,88.1691643272716
2.1037376644427686,11.022756522176934,88.26790072188687
2.0197631069959847,10.860689265358044,90.46398263468204
2.025795961445802,10.907263898778174,91.8324973693806
2.043995927049331,10.925523479440145,92.6931979807275
2.06924444947727,10.561140996035101,93.4444102691876
2.0326398694381913,10.961142600112048,94.00027350022765
2.4592144526571835,12.399947777184487,95.34400672148632
2.1347469784236477,11.101287972571928,95.76974266380911
2.2635666234671223,11.372960888892633,96.65101703204876
2.6096998253903223,12.738199905781482,97.50511368216945
2.0996226327923297,11.12040442460297,97.75546908828667
2.4196707255297327,12.212799758939225,97.8600175681453
2.0692488545574697,11.140603831198387,98.1275394325937
2.1983532763035605,11.057071251077351,99.74282055327528
2.5269439227901924,12.409567510398785,99.99228769921231
2.040118865779967,11.08161901769768,100.09438126664298
2.010504009688057,10.563312010638398,100.23359890450322
2.0320261650080034,10.793117328401133,100.27468906187278
2.4882756455615413,12.239271265405563,101.98371555748497
2.036186451320437,11.100746020942196,102.00075246831832
2.419295879118176,12.163785003957837,102.59804892461469
2.026035709142551,11.098167518081388,103.84893810566984
2.1385863124614404,11.436750181944582,103.84893810566984
2.1921092715598376,11.436327840439668,105.03955843755193
2.200681887421726,11.306207101920693,105.62797064470408
2.0193436516638856,11.111172645412378,105.64082057874951
2.010419496890716,10.490476081028518,106.71322510929599
2.3777444355001895,11.716631516652747,107.06933805428625
2.533210114926608,12.32675504703311,107.388219019791
2.459105591554602,12.266970595487564,109.30002979541777
2.9538286528484488,13.78078444123961,111.76718422851842
2.204583498260126,10.950382252477086,112.18763265107994
2.1867009553204158,11.343792696707586,112.3643306159953
2.272792832589316,11.221692687959846,112.66335087488142
2.0880946550040504,10.939123659408464,112.71987094024132
2.1344626007626584,10.991298414062593,112.72726156610905
2.329051336387962,11.905483121129283,114.01601086976038
2.172406035258763,10.791749593965557,114.04057333388025
2.623735544352645,12.565548042533326,114.71339569922158
2.3831039574265866,11.634935270276756,115.07998374060125
2.9059356631004123,13.555953422683958,115.69358768373667
2.3065792569330714,11.642725041471724,117.19574269460962
2.542419499499468,12.48973405092953,117.97066805477165
2.1741483914780035,10.758827455393664,118.4231766028961
2.5428222410217187,12.213041532645198,118.92373624017738
2.073439924446781,11.079134447330974,120.95129574111965
2.9635703742053887,13.680808728340415,122.07680059114814
2.058658744076858,11.071554125076922,122.78349799570879
2.1363544238507024,10.872684732925805,123.0275162298101
2.7677572491817863,12.95290373175761,123.62781806744
2.202765556116348,11.151983131163833,123.78699725525978
2.0798149169167393,10.316400780675608,124.1909227816751
2.1045652410604605,10.726568616475022,124.40399641759353
2.01263106809535,10.966916851216387,124.56466174141357
2.1499874419220792,11.29432219923294,124.7479789047027
2.400146983805555,12.075367656039319,125.192988386161
2.1134656789055666,11.121202061804183,125.2434785597308
2.2093602731374493,10.83818955339235,125.32632599602302
2.187173290421834,11.464941771812565,125.5609683442955
2.3083410054857536,11.559050892746022,126.31302815135818
2.287110452309423,11.63241580800941,126.80287044212497
2.105167826607729,10.69055608227247,128.12488429778105
2.67626884777479,12.870393621209034,128.24929747049356
2.1095323069156744,11.072411409316604,128.3352365037508
3.0795694662381856,13.955534880838247,128.63866704808174
2.4619629772559737,12.12551814877045,130.0431316979321
2.2154803556788307,11.342844937301917,130.26126879651198
2.6370500633963374,12.383471679465677,130.79294668260334
2.5512649411112687,12.061689069937964,131.39426120643444
2.774630380706657,12.85180849284327,131.71295900085022
2.0134398290329747,10.248346157924797,132.55239795872313
2.080745183798597,10.24133304286025,133.5310028388923
2.138388242868379,11.147668076765978,133.73923766002008
2.9771569731370735,13.503852018896145,133.76182786138696
2.511083326259297,11.895746665635187,133.81315150245706
2.138567383730754,10.76267010806276,134.21225262045363
2.28155321713911,11.023943792413045,134.54635044735818
2.1809114486355097,11.17979650337879,135.63571674861583
3.2641874178509265,14.384659935659894,136.4982188691976
2.5126986029566414,11.84684845249219,138.21354680979536
2.0093725045112807,10.59271559733562,138.2700915124792
2.212147558615774,10.708305962501024,139.0623502326911
2.5479719170785913,12.310375007585133,140.44834959245588
2.0141495947866632,10.176739789066218,140.70382429113053
2.4658544362335655,11.989422363338644,140.72028860896845
2.5617524507804377,12.54932342180555,141.1588405823636
2.2013607995136066,11.34295770811129,141.16581167535261
2.6801274459880706,12.797533558534978,141.83654391774434
2.2064648152549315,10.954616867208655,142.50845586813793
2.4265934189952896,11.80951629728562,142.6781112823554
2.180104243726691,11.132567423153855,142.96445851559034
2.5564304906254156,11.91710384110989,144.60812897755414
3.2722033484284605,14.2973970473986,144.72221929176087
3.095993350461509,13.69949408209233,144.96439807076564
2.3945250724875806,11.336724457757304,145.73674813854342
2.1398976780066588,10.65074451909517,146.17711399413727
2.986679929251965,13.347818995494855,146.41119594611743
2.4278063472786666,11.771277955223617,146.490279084819
2.5187668241441794,12.347908185823101,146.68777112008596
2.0802477475338876,10.665411806229246,147.59022357362988
2.213522896753493,11.222863086565035,148.89781094326273
2.9346160514029487,13.12304748692527,149.29848151726043
2.1303223717286364,11.0180407907302,150.05228340117264
2.304224736871962,11.682442840398826,150.30860939560873
2.0048023306485447,10.5097499774296,151.28289769395923
2.468846222799533,11.859013535194377,152.1881483232789
2.3144918675793225,11.266330499561803,152.71375043680072
2.6447950346833977,12.134886223002281,152.86681665680496
2.2821555825437043,10.843453311467517,153.2441669724924
2.211508306553542,10.585022663442004,153.32637778306244
2.935559965149015,13.06422607065242,153.76270524718055
2.5184119506912723,12.291773281653985,153.90599775756684
2.079524354318618,10.586570580424997,154.51992133366494
2.8793023108883347,13.281226113711016,154.64951167371737
2.3944070138945963,11.236445487507575,155.11652783524775
2.1763996910114742,10.429873582278386,155.72347998459838
2.284047717410183,11.422181473091635,155.83875532975784
2.830249181511074,13.079283414595944,157.0847471893046
3.5414517345517122,14.820651479904512,158.25192151232432
2.556918174681903,11.768397291044792,158.46354125192636
2.1393203325138956,10.524164952626945,158.8346178203068
2.207162787112075,10.7856618341861,159.0096184313062
2.212453256908145,11.089938648120453,159.03862613543964
2.5537543680886396,12.070354267463383,159.6666992231317
2.98977465484223,13.151220240132973,159.82660464406794
2.1752467701793514,10.386668780059017,160.63143569102002
2.1067882580627906,10.380994435110901,160.855566178962
2.8315814888621156,13.030008599396323,161.00368490247192
2.314494393325683,11.177615088900797,161.02988752680457
3.4734991872973042,14.600365875463131,161.5340919457193
2.784506302431949,12.464135497698798,162.74187100942157
2.561471300438603,12.38638408945026,162.74475924986788
2.3006225463891394,11.586120776451468,162.97749990556886
2.4703234522061144,11.710435303728625,164.43528395873037
2.396822035006319,11.755035737921867,164.44888766596105
2.1060191466518896,10.338446121538949,165.27218714820563
3.4724964723845275,14.466943136341797,166.07980712123367
2.8831694339066583,13.10441609914165,166.43993793429127
2.193324763803672,11.17121654098346,166.6607166429267
3.099351706163049,13.3739937117062,167.39866012645152
2.0742276781509443,9.951189574857064,167.8020267608584
2.2068417141799537,10.444063318010643,168.0628163880914
2.6877751358426734,12.43647214289486,168.70726015315518
2.125218870104365,10.887603900954403,169.73917752142484
2.210971816898234,10.964797853257846,170.02149336260712
2.2823144656152397,11.239835633637862,170.05266476546953
2.649919834452483,12.611824032460673,170.19512774070824
2.0914647666451884,10.735797756596098,170.98640255263436
2.0096671847031327,9.910287630358097,171.40150966344012
2.3962706056815426,11.671695035500157,171.64941465074637
2.6407137936890437,11.888348458833457,171.78929067826465
2.1760534603983395,10.801676685641716,171.8644184189026
3.5391584990439693,14.55225500977276,171.91310700268315
2.1371092376008174,10.399399213269714,172.11056580774155
2.058696849192092,10.575291812918739,172.24793688003263
2.781234821547733,12.360333264943382,172.2562680296574
2.552126343722586,11.598701782002177,172.88668364471198
2.9897575467045394,13.345091908263452,173.3198727516087
2.9852457773509884,12.960656759935787,173.9036737804729
2.5608499225284254,12.235222646311904,174.412880535989
2.0573745477216856,10.535433558643497,175.5361803191358
2.1753555248026406,10.762748014672113,175.76499114067275
2.508589695482602,11.427071786621882,175.83758544137555
3.2737593433083623,13.772256459098102,176.29203671159613
2.553029010020554,11.870090318336942,176.5646858997202
2.6870962741028674,12.31045505587251,177.23063579653467
2.4686004113865696,11.570842616761938,177.38139862821134
2.2731205008918978,10.60275117916988,177.85573401182242
2.792333435476726,12.999350773687956,177.89449662481448
2.068894646747177,9.8668308282047,177.9947962917487
3.676734562620379,14.8710372270974,178.9686699187718
2.8829854624243123,12.92201751956296,179.00836123443483
2.4266742895074653,11.387552400772504,179.96379437466715
2.0062210174015545,9.822718282875718,180.71286205735947
2.505487514921941,11.367083130482424,180.80696812572575
2.087061299200721,10.604316027220271,180.9035896390759
2.2021754660202957,10.569887802985942,181.23052983087123
3.1587837603754503,13.731110872895767,181.47655663130175
2.0742504595045546,10.30711769548216,181.48637585201138
2.2081752608441083,10.836721764073017,181.7652600869999
2.45140340436853,12.00948335094748,182.4197173629615
2.198636922185268,10.301154457585447,183.22677534479683
2.425116434707848,11.335805364540253,184.47756802088446
2.648805126568272,12.40130417612972,184.94660436651486
2.7914351857958426,12.868842432707167,185.35998019605236
2.559276482420473,12.082308959742079,185.79533963926886
2.131804304563128,10.266642524038557,185.94160217842065
3.264416620539351,13.6024331203679,185.97678931218556
3.525063680098344,14.297948677153874,186.24943288096307
2.41003958948986,11.824536112979068,186.4092229992385
3.086568159587159,13.095314504595983,186.6450190537755
3.8955636830521465,15.235372318825501,187.10149397802476
2.542691047646079,11.432289477702538,187.8186650950571
2.515721828429527,11.905319120580353,188.1587742715504
2.36978285034388,11.655377145118093,188.21013356035255
2.150957400011113,10.78999724773491,188.25829410651875
2.9739440153761185,12.72571134656702,188.56945008780085
2.377764947731068,10.867448612793849,189.7058733412627
2.2778175083669727,11.016964396022683,189.7626399612492
2.0709646450256556,10.224023904966202,189.8746213840153
3.1550298988733427,13.60255632560784,190.21590245311856
2.9841756934721433,13.065387766633828,190.64998050583273
2.4625733058920094,11.395943052455548,190.9557878092673
2.082984287398904,10.48318074808955,191.62432449320139
2.3682242210863245,11.607152792475508,191.65612777090854
2.916940323098746,12.543280428497111,191.9893500334478
2.514289527538587,11.847696594022842,192.1905800259815
2.877005364283557,12.729900463559915,192.2778247189876
2.3050476111208673,10.84140942349453,192.35277867186846
2.2039536720479376,10.694710773034336,194.19696200567543
2.823957499789018,12.529164109093852,195.33242013754065
2.2237384349690936,10.297071797048275,196.00598541937697
2.621649815266124,11.589757335383029,196.76145221305168
2.4058645664802834,11.687738080595887,196.79570092237606
3.8757212864760593,15.058390976220695,196.96664715910686
2.910942406226442,12.470752363726348,197.04509010634374
2.2526017669960967,11.094368370478982,197.38563733599847
2.5550959176050787,11.911732202540666,197.93108414086882
2.99675356092362,13.359276191624616,198.47598908134614
3.6460639696963795,14.511623633331892,198.5727525186698
2.5413114179060954,11.583340600840982,199.3015881818452
2.3879772542599036,11.32828446874074,199.53121770868253
